Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
25,0,0,infinite,19.824,22.303,476.86,28.826,37.141,269.4,undefined,14.924,0.016598,vapor
25,100,0.0017842,560.47,19.796,22.263,120.56,28.935,37.442,268.63,10.932,14.932,0.016642,vapor
25,200,0.0035865,278.82,19.767,22.221,114.7,29.044,37.75,267.86,10.937,14.94,0.016687,vapor
25,300,0.0054073,184.93,19.738,22.18,111.23,29.155,38.066,267.09,10.942,14.948,0.016734,vapor
25,400,0.0072472,137.98,19.709,22.138,108.74,29.267,38.391,266.31,10.947,14.958,0.016782,vapor
25,500,0.0091066,109.81,19.68,22.096,106.78,29.38,38.723,265.53,10.952,14.967,0.016832,vapor
25,600,0.010986,91.025,19.65,22.053,105.17,29.495,39.065,264.74,10.957,14.978,0.016883,vapor
25,700,0.012886,77.603,19.62,22.01,103.78,29.611,39.415,263.95,10.961,14.989,0.016935,vapor
25,800,0.014808,67.533,19.589,21.967,102.57,29.729,39.776,263.15,10.966,15,0.01699,vapor
25,900,0.016751,59.699,19.558,21.923,101.49,29.849,40.147,262.34,10.971,15.013,0.017046,vapor
25,1000,0.018716,53.429,19.527,21.879,100.5,29.97,40.528,261.53,10.976,15.026,0.017103,vapor
25,1100,0.020705,48.297,19.496,21.834,99.604,30.093,40.92,260.71,10.981,15.039,0.017163,vapor
25,1200,0.022718,44.019,19.464,21.789,98.772,30.218,41.325,259.89,10.985,15.054,0.017225,vapor
25,1300,0.024755,40.396,19.432,21.743,97.997,30.344,41.741,259.06,10.99,15.069,0.017288,vapor
25,1400,0.026817,37.289,19.4,21.697,97.27,30.473,42.171,258.22,10.994,15.085,0.017354,vapor
25,1500,0.028906,34.595,19.367,21.651,96.583,30.603,42.615,257.38,10.999,15.102,0.017422,vapor
25,1600,0.031022,32.235,19.334,21.603,95.932,30.736,43.073,256.53,11.003,15.12,0.017492,vapor
25,1700,0.033165,30.152,19.3,21.556,95.312,30.871,43.546,255.67,11.007,15.138,0.017565,vapor
25,1800,0.035338,28.298,19.266,21.508,94.719,31.009,44.036,254.81,11.012,15.158,0.017641,vapor
25,1900,0.03754,26.638,19.231,21.459,94.151,31.149,44.542,253.94,11.015,15.179,0.017719,vapor
25,2000,0.039773,25.142,19.196,21.409,93.603,31.291,45.067,253.06,11.019,15.2,0.0178,vapor
25,2100,0.042039,23.788,19.161,21.359,93.074,31.436,45.611,252.17,11.023,15.223,0.017885,vapor
25,2200,0.044337,22.554,19.125,21.309,92.563,31.584,46.176,251.27,11.026,15.246,0.017972,vapor
