Temperature (C),Pressure (MPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Pressure (kPa)
31.1,0,0,infinite,20.001,22.531,477.44,29.104,37.419,271.85,undefined,15.22,0.017092,vapor,0
31.1,0.1,0.0017479,572.13,19.974,22.492,121.32,29.203,37.699,271.13,10.383,15.227,0.017135,vapor,100
31.1,0.2,0.0035123,284.72,19.946,22.452,115.46,29.304,37.985,270.41,10.387,15.235,0.017179,vapor,200
31.1,0.3,0.0052936,188.91,19.919,22.413,112,29.405,38.278,269.68,10.391,15.243,0.017225,vapor,300
31.1,0.4,0.0070923,141,19.891,22.373,109.52,29.507,38.577,268.95,10.395,15.252,0.017272,vapor,400
31.1,0.5,0.0089087,112.25,19.863,22.333,107.57,29.61,38.884,268.21,10.399,15.262,0.01732,vapor,500
31.1,0.6,0.010743,93.081,19.834,22.292,105.96,29.715,39.199,267.48,10.402,15.272,0.017369,vapor,600
31.1,0.7,0.012597,79.386,19.805,22.251,104.58,29.82,39.521,266.73,10.406,15.282,0.01742,vapor,700
31.1,0.8,0.014469,69.113,19.776,22.21,103.38,29.927,39.852,265.98,10.41,15.294,0.017473,vapor,800
31.1,0.9,0.016361,61.12,19.747,22.168,102.3,30.036,40.191,265.23,10.414,15.305,0.017527,vapor,900
31.1,1,0.018274,54.724,19.718,22.126,101.32,30.145,40.539,264.48,10.417,15.318,0.017583,vapor,1000
31.1,1.1,0.020207,49.489,19.688,22.084,100.43,30.256,40.896,263.71,10.421,15.331,0.01764,vapor,1100
31.1,1.2,0.022161,45.125,19.658,22.041,99.609,30.369,41.263,262.95,10.424,15.345,0.017699,vapor,1200
31.1,1.3,0.024137,41.43,19.627,21.998,98.841,30.482,41.64,262.18,10.427,15.36,0.01776,vapor,1300
31.1,1.4,0.026136,38.262,19.596,21.954,98.122,30.598,42.028,261.4,10.43,15.375,0.017823,vapor,1400
31.1,1.5,0.028158,35.514,19.565,21.91,97.444,30.715,42.427,260.62,10.433,15.391,0.017887,vapor,1500
31.1,1.6,0.030203,33.109,19.534,21.865,96.802,30.834,42.838,259.83,10.436,15.408,0.017954,vapor,1600
31.1,1.7,0.032274,30.985,19.502,21.82,96.191,30.954,43.261,259.04,10.439,15.426,0.018023,vapor,1700
31.1,1.8,0.034369,29.096,19.47,21.775,95.608,31.076,43.697,258.24,10.442,15.444,0.018094,vapor,1800
31.1,1.9,0.036491,27.404,19.438,21.729,95.048,31.2,44.146,257.44,10.444,15.464,0.018168,vapor,1900
31.1,2,0.038639,25.88,19.405,21.683,94.511,31.326,44.61,256.63,10.446,15.484,0.018244,vapor,2000
31.1,2.1,0.040815,24.501,19.372,21.636,93.993,31.454,45.089,255.82,10.448,15.506,0.018323,vapor,2100
31.1,2.2,0.04302,23.245,19.338,21.589,93.492,31.584,45.584,254.99,10.45,15.528,0.018404,vapor,2200
31.1,2.3,0.045255,22.097,19.304,21.541,93.007,31.717,46.095,254.17,10.452,15.551,0.018488,vapor,2300
31.1,2.4,0.04752,21.044,19.27,21.492,92.535,31.851,46.624,253.33,10.453,15.576,0.018576,vapor,2400
31.1,2.5,0.049817,20.073,19.235,21.443,92.077,31.988,47.172,252.49,10.454,15.601,0.018666,vapor,2500
31.1,2.6,0.052147,19.177,19.199,21.394,91.63,32.128,47.739,251.64,10.455,15.628,0.01876,vapor,2600
31.1,2.7,0.054511,18.345,19.164,21.343,91.194,32.27,48.327,250.79,10.455,15.655,0.018857,vapor,2700
31.1,2.8,0.05691,17.572,19.127,21.293,90.767,32.414,48.938,249.92,10.455,15.684,0.018958,vapor,2800
31.1,2.9,0.059345,16.851,19.09,21.241,90.349,32.562,49.572,249.05,10.455,15.715,0.019063,vapor,2900
31.1,3,0.061819,16.176,19.053,21.189,89.939,32.712,50.231,248.18,10.454,15.746,0.019172,vapor,3000
31.1,3.1,0.064332,15.544,19.015,21.136,89.535,32.866,50.917,247.29,10.453,15.779,0.019286,vapor,3100
31.1,3.2,0.066886,14.951,18.977,21.082,89.139,33.023,51.631,246.4,10.452,15.814,0.019404,vapor,3200
31.1,3.3,0.069483,14.392,18.938,21.028,88.748,33.183,52.375,245.49,10.45,15.85,0.019527,vapor,3300
31.1,3.4,0.072125,13.865,18.898,20.973,88.362,33.347,53.152,244.58,10.447,15.888,0.019656,vapor,3400
31.1,3.5,0.074813,13.367,18.858,20.917,87.982,33.515,53.964,243.66,10.444,15.927,0.01979,vapor,3500
31.1,3.6,0.077549,12.895,18.817,20.86,87.605,33.686,54.813,242.73,10.441,15.968,0.01993,vapor,3600
31.1,3.7,0.080337,12.448,18.776,20.803,87.232,33.862,55.703,241.79,10.437,16.011,0.020076,vapor,3700
31.1,3.8,0.083178,12.022,18.733,20.744,86.863,34.042,56.635,240.84,10.432,16.056,0.02023,vapor,3800
31.1,3.9,0.086075,11.618,18.69,20.684,86.496,34.227,57.615,239.87,10.426,16.103,0.020391,vapor,3900
31.1,4,0.08903,11.232,18.647,20.624,86.132,34.417,58.645,238.9,10.42,16.153,0.020559,vapor,4000
31.1,4.1,0.092047,10.864,18.602,20.562,85.769,34.612,59.73,237.92,10.413,16.204,0.020736,vapor,4100
31.1,4.2,0.095128,10.512,18.556,20.499,85.408,34.813,60.874,236.92,10.405,16.258,0.020922,vapor,4200
31.1,4.3,0.098278,10.175,18.51,20.435,85.049,35.02,62.083,235.91,10.396,16.315,0.021118,vapor,4300
31.1,4.4,0.1015,9.8522,18.462,20.37,84.689,35.233,63.364,234.89,10.386,16.374,0.021325,vapor,4400
31.1,4.5,0.1048,9.5421,18.414,20.304,84.331,35.453,64.722,233.85,10.375,16.437,0.021543,vapor,4500
31.1,4.6,0.10818,9.2439,18.365,20.236,83.972,35.68,66.165,232.8,10.363,16.502,0.021774,vapor,4600
31.1,4.7,0.11164,8.957,18.314,20.167,83.612,35.915,67.703,231.73,10.349,16.571,0.022019,vapor,4700
31.1,4.8,0.1152,8.6804,18.262,20.096,83.252,36.159,69.345,230.64,10.335,16.644,0.022278,vapor,4800
31.1,4.9,0.11886,8.4135,18.209,20.023,82.89,36.411,71.104,229.54,10.318,16.72,0.022554,vapor,4900
31.1,5,0.12262,8.1555,18.154,19.949,82.526,36.674,72.991,228.42,10.3,16.801,0.022847,vapor,5000
31.1,5.1,0.12649,7.9059,18.098,19.873,82.16,36.947,75.024,227.28,10.28,16.886,0.023161,vapor,5100
31.1,5.2,0.13048,7.6639,18.041,19.795,81.79,37.232,77.221,226.12,10.259,16.976,0.023496,vapor,5200
31.1,5.3,0.1346,7.4292,17.982,19.714,81.417,37.53,79.602,224.94,10.235,17.072,0.023856,vapor,5300
31.1,5.4,0.13887,7.201,17.92,19.632,81.04,37.842,82.195,223.73,10.208,17.173,0.024242,vapor,5400
31.1,5.5,0.14329,6.979,17.857,19.547,80.657,38.169,85.029,222.5,10.18,17.281,0.024659,vapor,5500
31.1,5.6,0.14787,6.7625,17.792,19.459,80.268,38.513,88.143,221.23,10.148,17.396,0.02511,vapor,5600
31.1,5.7,0.15265,6.5511,17.724,19.368,79.873,38.877,91.581,219.94,10.113,17.518,0.025599,vapor,5700
31.1,5.8,0.15762,6.3444,17.654,19.273,79.47,39.262,95.4,218.61,10.074,17.65,0.026133,vapor,5800
31.1,5.9,0.16282,6.1417,17.58,19.175,79.057,39.672,99.671,217.25,10.031,17.791,0.026716,vapor,5900
31.1,6,0.16828,5.9426,17.504,19.073,78.634,40.109,104.48,215.84,9.9838,17.943,0.027358,vapor,6000
31.1,6.1,0.17402,5.7465,17.424,18.966,78.199,40.578,109.95,214.38,9.9311,18.108,0.028068,vapor,6100
31.1,6.2,0.18008,5.553,17.339,18.854,77.749,41.083,116.23,212.87,9.8722,18.287,0.028858,vapor,6200
31.1,6.3,0.18652,5.3613,17.25,18.737,77.283,41.633,123.52,211.29,9.8063,18.484,0.029743,vapor,6300
31.1,6.4,0.1934,5.1707,17.155,18.612,76.797,42.233,132.1,209.64,9.7319,18.7,0.030744,vapor,6400
31.1,6.5,0.20079,4.9804,17.054,18.479,76.287,42.896,142.36,207.9,9.6476,18.94,0.031888,vapor,6500
31.1,6.6,0.20879,4.7894,16.945,18.337,75.748,43.636,154.89,206.06,9.5512,19.209,0.033212,vapor,6600
31.1,6.7,0.21756,4.5964,16.827,18.182,75.173,44.473,170.57,204.08,9.4399,19.514,0.034768,vapor,6700
31.1,6.8,0.22729,4.3996,16.697,18.013,74.553,45.435,190.85,201.93,9.3098,19.865,0.036635,vapor,6800
31.1,6.9,0.23829,4.1966,16.551,17.825,73.872,46.568,218.23,199.56,9.155,20.279,0.038938,vapor,6900
31.1,7,0.25103,3.9835,16.384,17.611,73.108,47.945,257.55,196.86,8.9663,20.781,0.041894,vapor,7000
31.1,7.1,0.2664,3.7538,16.185,17.358,72.221,49.704,319.57,193.67,8.7278,21.418,0.045928,vapor,7100
31.1,7.2,0.2862,3.494,15.933,17.041,71.126,52.159,434.84,189.6,8.4059,22.289,0.052057,vapor,7200
31.1,7.3,0.31578,3.1667,15.568,16.586,69.583,56.387,744.39,183.36,7.9039,23.698,0.063965,vapor,7300
31.1,7.4,0.5158,1.9387,13.536,14.167,61.591,85.584,17086,140.24,5.4494,36.807,0.18543,vapor,7400
31.1,7.5,0.60699,1.6475,12.825,13.369,58.942,53.28,725.53,207.88,3.7244,45.189,0.083012,supercritical,7500
31.1,7.6,0.63076,1.5854,12.635,13.166,58.252,50.267,485.65,227.88,3.2561,47.688,0.079132,supercritical,7600
31.1,7.7,0.64658,1.5466,12.508,13.032,57.788,48.811,388.88,241.73,2.9586,49.434,0.077708,supercritical,7700
31.1,7.8,0.65875,1.518,12.408,12.929,57.43,47.854,334.31,252.98,2.7383,50.823,0.077116,supercritical,7800
31.1,7.9,0.66873,1.4954,12.326,12.846,57.133,47.133,298.55,262.73,2.5635,51.997,0.076918,supercritical,7900
31.1,8,0.67727,1.4765,12.255,12.775,56.879,46.553,272.99,271.43,2.419,53.024,0.076935,supercritical,8000
