Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
39,0,0,infinite,20.232,22.828,478.19,29.46,37.774,274.99,undefined,15.6,0.017737,vapor
39,100,0.001703,587.21,20.207,22.791,122.29,29.548,38.029,274.32,9.7314,15.607,0.017779,vapor
39,200,0.0034207,292.34,20.181,22.754,116.44,29.637,38.29,273.65,9.7344,15.615,0.017822,vapor
39,300,0.0051536,194.04,20.154,22.716,112.99,29.728,38.556,272.98,9.7374,15.623,0.017866,vapor
39,400,0.0069018,144.89,20.128,22.679,110.51,29.819,38.828,272.31,9.7402,15.632,0.017911,vapor
39,500,0.0086658,115.4,20.101,22.641,108.57,29.911,39.106,271.63,9.743,15.641,0.017958,vapor
39,600,0.010446,95.731,20.075,22.602,106.97,30.003,39.39,270.95,9.7457,15.651,0.018006,vapor
39,700,0.012242,81.683,20.047,22.564,105.6,30.097,39.68,270.27,9.7483,15.661,0.018055,vapor
39,800,0.014056,71.145,20.02,22.525,104.4,30.192,39.977,269.58,9.7508,15.672,0.018105,vapor
39,900,0.015887,62.946,19.993,22.486,103.33,30.288,40.281,268.89,9.7532,15.683,0.018157,vapor
39,1000,0.017735,56.386,19.965,22.446,102.36,30.384,40.592,268.2,9.7555,15.695,0.01821,vapor
39,1100,0.019601,51.017,19.937,22.407,101.48,30.482,40.91,267.5,9.7576,15.708,0.018265,vapor
39,1200,0.021486,46.542,19.909,22.367,100.67,30.581,41.236,266.8,9.7596,15.721,0.018321,vapor
39,1300,0.02339,42.754,19.88,22.326,99.908,30.681,41.57,266.1,9.7615,15.735,0.018379,vapor
39,1400,0.025313,39.505,19.851,22.285,99.198,30.782,41.913,265.39,9.7632,15.749,0.018438,vapor
39,1500,0.027256,36.689,19.822,22.244,98.53,30.884,42.264,264.68,9.7648,15.765,0.018499,vapor
39,1600,0.02922,34.223,19.793,22.203,97.897,30.988,42.624,263.97,9.7662,15.781,0.018562,vapor
39,1700,0.031205,32.047,19.763,22.161,97.296,31.093,42.993,263.25,9.7675,15.797,0.018627,vapor
39,1800,0.033211,30.111,19.734,22.119,96.723,31.199,43.373,262.53,9.7685,15.815,0.018693,vapor
39,1900,0.035239,28.378,19.703,22.076,96.175,31.306,43.762,261.81,9.7694,15.833,0.018762,vapor
