Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
41,0,0,infinite,20.291,22.903,478.38,29.549,37.863,275.77,undefined,15.696,0.017901,vapor
41,100,0.001692,591.02,20.266,22.867,122.53,29.635,38.113,275.12,9.5763,15.703,0.017943,vapor
41,200,0.0033983,294.26,20.24,22.83,116.69,29.722,38.367,274.47,9.5791,15.711,0.017985,vapor
41,300,0.0051193,195.34,20.214,22.793,113.23,29.809,38.627,273.81,9.5818,15.719,0.018029,vapor
41,400,0.0068553,145.87,20.188,22.756,110.76,29.898,38.893,273.15,9.5844,15.728,0.018074,vapor
41,500,0.0086065,116.19,20.162,22.719,108.82,29.987,39.164,272.48,9.587,15.737,0.01812,vapor
41,600,0.010373,96.4,20.136,22.681,107.22,30.077,39.441,271.82,9.5894,15.746,0.018168,vapor
41,700,0.012156,82.262,20.109,22.643,105.85,30.168,39.724,271.15,9.5917,15.756,0.018216,vapor
41,800,0.013955,71.657,20.082,22.605,104.65,30.26,40.013,270.48,9.594,15.767,0.018266,vapor
41,900,0.015771,63.407,20.055,22.566,103.59,30.353,40.309,269.8,9.5961,15.778,0.018318,vapor
41,1000,0.017604,56.805,20.028,22.528,102.62,30.447,40.611,269.13,9.598,15.79,0.01837,vapor
41,1100,0.019455,51.402,20,22.489,101.74,30.542,40.921,268.45,9.5999,15.803,0.018424,vapor
41,1200,0.021323,46.898,19.972,22.449,100.93,30.637,41.237,267.76,9.6016,15.816,0.01848,vapor
41,1300,0.023209,43.086,19.944,22.409,100.17,30.734,41.562,267.07,9.6032,15.83,0.018537,vapor
41,1400,0.025115,39.817,19.916,22.369,99.465,30.832,41.894,266.38,9.6046,15.844,0.018595,vapor
41,1500,0.027039,36.983,19.887,22.329,98.799,30.931,42.234,265.69,9.6059,15.859,0.018656,vapor
41,1600,0.028983,34.503,19.859,22.288,98.169,31.031,42.583,264.99,9.607,15.875,0.018718,vapor
41,1700,0.030948,32.313,19.83,22.247,97.571,31.132,42.941,264.29,9.6079,15.891,0.018781,vapor
41,1800,0.032933,30.365,19.8,22.206,97,31.235,43.308,263.59,9.6087,15.908,0.018847,vapor
41,1900,0.034939,28.621,19.771,22.164,96.454,31.338,43.684,262.88,9.6092,15.926,0.018914,vapor
41,2000,0.036967,27.051,19.741,22.122,95.93,31.443,44.071,262.17,9.6096,15.945,0.018983,vapor
41,2100,0.039017,25.63,19.71,22.079,95.426,31.549,44.467,261.46,9.6097,15.965,0.019055,vapor
41,2200,0.041091,24.336,19.68,22.036,94.939,31.657,44.875,260.74,9.6096,15.985,0.019128,vapor
41,2300,0.043188,23.155,19.649,21.993,94.469,31.766,45.294,260.02,9.6093,16.006,0.019204,vapor
41,2400,0.045309,22.071,19.618,21.949,94.013,31.876,45.725,259.29,9.6087,16.029,0.019282,vapor
41,2500,0.047455,21.072,19.586,21.905,93.571,31.988,46.169,258.56,9.6079,16.052,0.019363,vapor
41,2600,0.049627,20.15,19.555,21.86,93.14,32.101,46.625,257.83,9.6068,16.076,0.019446,vapor
41,2700,0.051826,19.295,19.523,21.815,92.72,32.216,47.095,257.09,9.6054,16.101,0.019531,vapor
41,2800,0.054051,18.501,19.49,21.77,92.311,32.332,47.58,256.35,9.6037,16.127,0.019619,vapor
41,2900,0.056305,17.761,19.457,21.724,91.911,32.45,48.079,255.6,9.6017,16.154,0.019711,vapor
41,3000,0.058587,17.069,19.424,21.678,91.519,32.57,48.594,254.85,9.5993,16.182,0.019805,vapor
41,3100,0.060899,16.421,19.39,21.631,91.135,32.692,49.126,254.09,9.5967,16.211,0.019902,vapor
41,3200,0.063242,15.812,19.356,21.583,90.759,32.815,49.675,253.33,9.5936,16.242,0.020003,vapor
41,3300,0.065617,15.24,19.322,21.535,90.389,32.941,50.242,252.57,9.5901,16.273,0.020107,vapor
41,3400,0.068025,14.701,19.287,21.487,90.025,33.068,50.828,251.8,9.5863,16.306,0.020214,vapor
41,3500,0.070466,14.191,19.252,21.438,89.667,33.198,51.435,251.02,9.582,16.341,0.020326,vapor
41,3600,0.072943,13.709,19.216,21.388,89.313,33.329,52.063,250.24,9.5772,16.376,0.020441,vapor
41,3700,0.075456,13.253,19.18,21.338,88.965,33.463,52.714,249.46,9.572,16.413,0.020561,vapor
41,3800,0.078006,12.82,19.144,21.287,88.621,33.599,53.389,248.67,9.5663,16.452,0.020685,vapor
41,3900,0.080595,12.408,19.106,21.236,88.28,33.737,54.089,247.88,9.5601,16.492,0.020813,vapor
41,4000,0.083225,12.016,19.069,21.184,87.944,33.878,54.816,247.08,9.5533,16.534,0.020947,vapor
41,4100,0.085897,11.642,19.031,21.131,87.61,34.022,55.571,246.27,9.5459,16.577,0.021085,vapor
41,4200,0.088612,11.285,18.992,21.078,87.28,34.168,56.357,245.46,9.5379,16.622,0.02123,vapor
41,4300,0.091373,10.944,18.953,21.024,86.952,34.317,57.174,244.64,9.5292,16.669,0.02138,vapor
41,4400,0.09418,10.618,18.913,20.969,86.626,34.47,58.026,243.82,9.5198,16.718,0.021536,vapor
41,4500,0.097037,10.305,18.872,20.913,86.303,34.625,58.915,242.99,9.5098,16.769,0.021698,vapor
41,4600,0.099944,10.006,18.831,20.857,85.981,34.783,59.843,242.15,9.4989,16.822,0.021867,vapor
41,4700,0.10291,9.7177,18.79,20.8,85.66,34.945,60.812,241.31,9.4872,16.877,0.022044,vapor
41,4800,0.10592,9.4409,18.747,20.741,85.341,35.11,61.826,240.47,9.4747,16.935,0.022228,vapor
41,4900,0.109,9.1746,18.704,20.682,85.023,35.279,62.888,239.61,9.4613,16.995,0.022421,vapor
41,5000,0.11213,8.918,18.66,20.622,84.705,35.452,64.001,238.75,9.4469,17.058,0.022622,vapor
41,5100,0.11533,8.6706,18.615,20.561,84.388,35.629,65.17,237.88,9.4315,17.123,0.022833,vapor
41,5200,0.1186,8.4318,18.57,20.5,84.071,35.81,66.399,237.01,9.415,17.192,0.023054,vapor
41,5300,0.12193,8.2011,18.524,20.436,83.753,35.996,67.692,236.12,9.3973,17.263,0.023285,vapor
41,5400,0.12535,7.978,18.476,20.372,83.436,36.187,69.056,235.23,9.3784,17.338,0.023528,vapor
41,5500,0.12883,7.7619,18.428,20.307,83.118,36.383,70.495,234.33,9.3582,17.416,0.023783,vapor
41,5600,0.1324,7.5526,18.379,20.24,82.798,36.584,72.018,233.43,9.3366,17.497,0.024052,vapor
41,5700,0.13606,7.3496,18.329,20.172,82.478,36.79,73.63,232.51,9.3135,17.583,0.024334,vapor
41,5800,0.13981,7.1526,18.277,20.103,82.156,37.003,75.342,231.59,9.2889,17.673,0.024632,vapor
41,5900,0.14366,6.9611,18.225,20.032,81.832,37.222,77.161,230.66,9.2625,17.767,0.024946,vapor
41,6000,0.1476,6.7749,18.171,19.96,81.506,37.447,79.099,229.72,9.2343,17.866,0.025278,vapor
41,6100,0.15166,6.5936,18.116,19.886,81.177,37.68,81.168,228.77,9.2042,17.97,0.02563,vapor
41,6200,0.15584,6.4169,18.06,19.811,80.845,37.921,83.383,227.81,9.172,18.079,0.026002,vapor
41,6300,0.16014,6.2445,18.002,19.733,80.51,38.169,85.758,226.83,9.1375,18.194,0.026398,vapor
41,6400,0.16458,6.0762,17.942,19.654,80.171,38.427,88.312,225.85,9.1006,18.316,0.026818,vapor
41,6500,0.16915,5.9117,17.881,19.573,79.828,38.694,91.067,224.86,9.061,18.445,0.027265,vapor
41,6600,0.17389,5.7508,17.818,19.489,79.48,38.97,94.046,223.85,9.0186,18.581,0.027742,vapor
41,6700,0.17879,5.5931,17.754,19.403,79.127,39.258,97.279,222.84,8.9731,18.726,0.028252,vapor
41,6800,0.18387,5.4385,17.687,19.314,78.767,39.557,100.8,221.81,8.9242,18.879,0.028798,vapor
41,6900,0.18916,5.2867,17.617,19.223,78.401,39.869,104.65,220.77,8.8717,19.042,0.029384,vapor
41,7000,0.19465,5.1374,17.546,19.128,78.028,40.194,108.87,219.71,8.8151,19.217,0.030014,vapor
41,7100,0.20038,4.9904,17.471,19.031,77.646,40.534,113.52,218.64,8.7541,19.403,0.030694,vapor
41,7200,0.20638,4.8455,17.394,18.93,77.255,40.89,118.67,217.55,8.6882,19.603,0.031428,vapor
41,7300,0.21266,4.7024,17.314,18.824,76.853,41.263,124.4,216.44,8.617,19.818,0.032224,vapor
41,7400,0.21926,4.5608,17.23,18.715,76.44,41.655,130.81,215.32,8.5398,20.051,0.033089,supercritical
41,7500,0.22622,4.4205,17.142,18.601,76.014,42.068,138.03,214.18,8.456,20.303,0.034032,supercritical
41,7600,0.23358,4.2812,17.05,18.481,75.573,42.504,146.2,213.02,8.3648,20.577,0.035065,supercritical
41,7700,0.2414,4.1425,16.952,18.356,75.115,42.964,155.53,211.84,8.2652,20.876,0.036198,supercritical
41,7800,0.24974,4.0042,16.85,18.224,74.637,43.451,166.26,210.64,8.1561,21.206,0.037449,supercritical
41,7900,0.25868,3.8658,16.741,18.085,74.138,43.967,178.7,209.42,8.0363,21.57,0.038833,supercritical
41,8000,0.26831,3.7271,16.624,17.937,73.614,44.515,193.24,208.18,7.904,21.975,0.040371,supercritical
41,8100,0.27875,3.5874,16.5,17.779,73.06,45.098,210.38,206.93,7.7575,22.431,0.042088,supercritical
