Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
23,0,0,infinite,19.767,22.229,476.66,28.734,37.049,268.59,undefined,14.827,0.016437,vapor
23,100,0.0017965,556.65,19.738,22.188,120.31,28.846,37.357,267.81,11.122,14.835,0.016481,vapor
23,200,0.0036115,276.89,19.709,22.146,114.44,28.959,37.674,267.02,11.127,14.843,0.016527,vapor
23,300,0.0054457,183.63,19.679,22.104,110.97,29.073,37.998,266.24,11.132,14.851,0.016574,vapor
23,400,0.0072996,136.99,19.65,22.061,108.48,29.188,38.331,265.44,11.138,14.861,0.016623,vapor
23,500,0.0091736,109.01,19.62,22.018,106.52,29.305,38.672,264.64,11.143,14.871,0.016673,vapor
23,600,0.011068,90.348,19.589,21.975,104.9,29.424,39.024,263.83,11.148,14.881,0.016724,vapor
23,700,0.012984,77.016,19.559,21.931,103.52,29.544,39.384,263.02,11.153,14.892,0.016777,vapor
23,800,0.014922,67.013,19.528,21.887,102.3,29.666,39.756,262.2,11.158,14.904,0.016832,vapor
23,900,0.016883,59.231,19.497,21.843,101.22,29.789,40.138,261.38,11.164,14.916,0.016889,vapor
23,1000,0.018867,53.003,19.465,21.798,100.23,29.915,40.531,260.55,11.169,14.93,0.016947,vapor
23,1100,0.020875,47.904,19.433,21.752,99.329,30.042,40.936,259.71,11.174,14.944,0.017008,vapor
23,1200,0.022908,43.653,19.401,21.706,98.494,30.171,41.354,258.87,11.179,14.958,0.01707,vapor
23,1300,0.024966,40.055,19.368,21.66,97.716,30.302,41.785,258.02,11.184,14.974,0.017135,vapor
23,1400,0.027051,36.968,19.335,21.613,96.986,30.436,42.23,257.16,11.189,14.99,0.017202,vapor
23,1500,0.029162,34.291,19.302,21.565,96.296,30.571,42.69,256.3,11.194,15.007,0.017271,vapor
23,1600,0.031303,31.946,19.268,21.517,95.642,30.709,43.166,255.42,11.199,15.025,0.017343,vapor
23,1700,0.033472,29.876,19.233,21.469,95.019,30.85,43.658,254.54,11.204,15.044,0.017417,vapor
23,1800,0.035671,28.034,19.199,21.419,94.423,30.993,44.167,253.65,11.209,15.064,0.017494,vapor
23,1900,0.037902,26.384,19.163,21.37,93.85,31.139,44.695,252.76,11.213,15.085,0.017574,vapor
23,2000,0.040165,24.897,19.128,21.319,93.299,31.287,45.243,251.85,11.218,15.107,0.017657,vapor
23,2100,0.042462,23.551,19.091,21.268,92.767,31.439,45.812,250.94,11.222,15.13,0.017743,vapor
23,2200,0.044794,22.325,19.055,21.216,92.251,31.594,46.403,250.02,11.226,15.154,0.017833,vapor
23,2300,0.047162,21.204,19.018,21.164,91.751,31.752,47.017,249.08,11.23,15.179,0.017927,vapor
23,2400,0.049568,20.174,18.98,21.111,91.264,31.913,47.658,248.14,11.233,15.206,0.018024,vapor
23,2500,0.052013,19.226,18.941,21.057,90.789,32.079,48.325,247.19,11.237,15.234,0.018125,vapor
23,2600,0.054499,18.349,18.902,21.002,90.326,32.248,49.021,246.22,11.24,15.263,0.018231,vapor
23,2700,0.057028,17.535,18.863,20.947,89.872,32.421,49.749,245.25,11.243,15.293,0.018341,vapor
23,2800,0.059602,16.778,18.823,20.89,89.426,32.598,50.51,244.26,11.245,15.326,0.018457,vapor
23,2900,0.062223,16.071,18.782,20.833,88.989,32.781,51.307,243.26,11.247,15.359,0.018578,vapor
23,3000,0.064893,15.41,18.74,20.775,88.559,32.968,52.143,242.25,11.248,15.394,0.018704,vapor
23,3100,0.067614,14.79,18.698,20.716,88.135,33.16,53.022,241.23,11.25,15.432,0.018837,vapor
23,3200,0.070389,14.207,18.655,20.655,87.716,33.358,53.946,240.19,11.25,15.47,0.018976,vapor
23,3300,0.073221,13.657,18.611,20.594,87.302,33.561,54.92,239.14,11.25,15.511,0.019123,vapor
23,3400,0.076113,13.138,18.566,20.532,86.893,33.771,55.948,238.07,11.25,15.554,0.019277,vapor
23,3500,0.079068,12.647,18.52,20.468,86.487,33.988,57.035,236.99,11.248,15.599,0.01944,vapor
23,3600,0.08209,12.182,18.473,20.404,86.083,34.212,58.187,235.89,11.246,15.646,0.019612,vapor
23,3700,0.085183,11.739,18.426,20.337,85.682,34.443,59.41,234.77,11.244,15.696,0.019793,vapor
23,3800,0.08835,11.319,18.377,20.27,85.283,34.683,60.712,233.64,11.24,15.749,0.019986,vapor
23,3900,0.091598,10.917,18.327,20.201,84.885,34.933,62.101,232.48,11.236,15.804,0.02019,vapor
23,4000,0.094931,10.534,18.276,20.13,84.487,35.192,63.588,231.31,11.23,15.862,0.020408,vapor
23,4100,0.098354,10.167,18.223,20.058,84.089,35.461,65.182,230.11,11.223,15.924,0.020639,vapor
23,4200,0.10188,9.8159,18.17,19.984,83.691,35.743,66.898,228.88,11.215,15.989,0.020887,vapor
23,4300,0.1055,9.4785,18.114,19.908,83.291,36.037,68.75,227.64,11.206,16.058,0.021152,vapor
23,4400,0.10924,9.154,18.057,19.83,82.888,36.345,70.759,226.36,11.195,16.131,0.021437,vapor
23,4500,0.1131,8.8414,17.998,19.749,82.483,36.669,72.944,225.05,11.182,16.208,0.021744,vapor
23,4600,0.1171,8.5396,17.938,19.667,82.075,37.011,75.333,223.72,11.168,16.291,0.022076,vapor
23,4700,0.12124,8.2479,17.875,19.581,81.661,37.371,77.959,222.34,11.151,16.379,0.022436,vapor
23,4800,0.12555,7.9652,17.81,19.493,81.242,37.754,80.859,220.93,11.132,16.473,0.022828,vapor
23,4900,0.13003,7.6908,17.742,19.401,80.816,38.161,84.085,219.47,11.11,16.574,0.023257,vapor
23,5000,0.1347,7.4238,17.672,19.306,80.382,38.596,87.698,217.97,11.084,16.682,0.023729,vapor
23,5100,0.1396,7.1634,17.599,19.206,79.938,39.064,91.779,216.41,11.056,16.798,0.02425,vapor
23,5200,0.14475,6.9087,17.522,19.103,79.483,39.569,96.431,214.79,11.023,16.925,0.024831,vapor
23,5300,0.15018,6.6588,17.44,18.994,79.014,40.119,101.8,213.1,10.985,17.062,0.025482,vapor
23,5400,0.15594,6.4128,17.355,18.879,78.529,40.721,108.07,211.33,10.941,17.213,0.02622,vapor
23,5500,0.16208,6.1697,17.263,18.757,78.024,41.388,115.51,209.46,10.89,17.378,0.027064,vapor
23,5600,0.16869,5.9281,17.166,18.627,77.495,42.135,124.53,207.48,10.831,17.563,0.028043,vapor
23,5700,0.17585,5.6865,17.06,18.486,76.935,42.985,135.74,205.35,10.761,17.77,0.0292,vapor
23,5800,0.18372,5.443,16.944,18.333,76.336,43.971,150.13,203.04,10.677,18.005,0.030596,vapor
23,5900,0.19251,5.1947,16.815,18.164,75.685,45.148,169.48,200.49,10.575,18.279,0.032335,vapor
23,6000,0.20255,4.9371,16.669,17.972,74.962,46.616,197.3,197.58,10.446,18.606,0.034604,vapor
23,6100,0.21447,4.6626,16.495,17.747,74.13,48.59,241.91,194.1,10.273,19.013,0.037803,vapor
23,6144,0.22062,4.5326,16.406,17.631,73.71,49.744,272.19,192.27,10.176,19.231,0.039735,vapor
23,6144.01,0.73836,1.3543,11.37,11.736,53.804,45.724,230.96,301.51,1.8897,60.865,0.082364,liquid
23,6200,0.74138,1.3488,11.345,11.713,53.713,45.469,223.47,306.17,1.8395,61.305,0.082517,liquid
23,6300,0.74639,1.3398,11.302,11.674,53.561,45.085,212.25,313.79,1.7595,62.042,0.082823,liquid
