Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
33,0,0,infinite,20.056,22.602,477.62,29.19,37.505,272.61,undefined,15.311,0.017246,vapor
33,100,0.0017369,575.75,20.03,22.563,121.55,29.287,37.778,271.9,10.22,15.319,0.017289,vapor
33,200,0.0034898,286.55,20.002,22.525,115.7,29.384,38.058,271.19,10.224,15.326,0.017333,vapor
33,300,0.0052592,190.14,19.975,22.486,112.24,29.482,38.344,270.48,10.228,15.335,0.017378,vapor
33,400,0.0070454,141.94,19.948,22.446,109.76,29.582,38.637,269.76,10.231,15.344,0.017425,vapor
33,500,0.0088489,113.01,19.92,22.407,107.81,29.682,38.937,269.04,10.235,15.353,0.017473,vapor
33,600,0.01067,93.72,19.892,22.367,106.2,29.784,39.243,268.32,10.239,15.363,0.017522,vapor
33,700,0.012509,79.94,19.863,22.326,104.83,29.886,39.557,267.59,10.242,15.373,0.017572,vapor
33,800,0.014367,69.603,19.835,22.285,103.62,29.99,39.879,266.86,10.245,15.385,0.017624,vapor
33,900,0.016244,61.561,19.806,22.244,102.55,30.095,40.209,266.12,10.249,15.396,0.017678,vapor
33,1000,0.018141,55.125,19.777,22.203,101.58,30.202,40.548,265.38,10.252,15.409,0.017733,vapor
33,1100,0.020057,49.858,19.748,22.161,100.69,30.309,40.895,264.64,10.255,15.422,0.017789,vapor
33,1200,0.021994,45.467,19.718,22.119,99.866,30.418,41.252,263.89,10.258,15.436,0.017848,vapor
33,1300,0.023952,41.75,19.688,22.077,99.1,30.528,41.618,263.13,10.261,15.45,0.017908,vapor
33,1400,0.025932,38.562,19.658,22.034,98.384,30.64,41.994,262.37,10.264,15.465,0.01797,vapor
33,1500,0.027934,35.798,19.627,21.99,97.708,30.753,42.38,261.61,10.266,15.481,0.018034,vapor
33,1600,0.029959,33.379,19.596,21.947,97.069,30.868,42.778,260.84,10.269,15.498,0.018099,vapor
33,1700,0.032008,31.242,19.565,21.903,96.46,30.984,43.187,260.07,10.271,15.515,0.018167,vapor
33,1800,0.034081,29.342,19.534,21.858,95.879,31.102,43.608,259.29,10.273,15.534,0.018237,vapor
33,1900,0.036179,27.64,19.502,21.813,95.323,31.222,44.042,258.51,10.275,15.553,0.01831,vapor
33,2000,0.038303,26.108,19.47,21.768,94.788,31.344,44.489,257.72,10.277,15.573,0.018384,vapor
33,2100,0.040454,24.72,19.437,21.722,94.273,31.467,44.95,256.92,10.279,15.594,0.018461,vapor
33,2200,0.042631,23.457,19.404,21.675,93.775,31.592,45.426,256.12,10.28,15.616,0.018541,vapor
33,2300,0.044838,22.303,19.371,21.628,93.293,31.719,45.917,255.32,10.281,15.639,0.018624,vapor
33,2400,0.047073,21.244,19.337,21.581,92.825,31.849,46.425,254.51,10.282,15.662,0.018709,vapor
33,2500,0.049339,20.268,19.303,21.533,92.37,31.98,46.949,253.69,10.283,15.687,0.018797,vapor
33,2600,0.051636,19.366,19.268,21.484,91.927,32.114,47.492,252.86,10.283,15.713,0.018889,vapor
33,2700,0.053965,18.531,19.233,21.435,91.494,32.25,48.054,252.03,10.283,15.741,0.018983,vapor
33,2800,0.056328,17.753,19.198,21.385,91.071,32.388,48.636,251.2,10.283,15.769,0.019082,vapor
33,2900,0.058725,17.029,19.162,21.335,90.656,32.529,49.24,250.35,10.282,15.799,0.019183,vapor
33,3000,0.061158,16.351,19.125,21.284,90.25,32.673,49.867,249.5,10.281,15.829,0.019289,vapor
33,3100,0.063629,15.716,19.088,21.232,89.851,32.819,50.518,248.64,10.28,15.862,0.019399,vapor
33,3200,0.066138,15.12,19.051,21.18,89.459,32.969,51.194,247.78,10.278,15.895,0.019514,vapor
33,3300,0.068688,14.559,19.013,21.127,89.073,33.121,51.898,246.9,10.275,15.931,0.019632,vapor
33,3400,0.07128,14.029,18.974,21.073,88.692,33.277,52.631,246.02,10.273,15.967,0.019756,vapor
33,3500,0.073915,13.529,18.935,21.019,88.316,33.436,53.395,245.13,10.269,16.005,0.019885,vapor
33,3600,0.076596,13.056,18.895,20.964,87.944,33.598,54.192,244.23,10.265,16.045,0.02002,vapor
33,3700,0.079324,12.607,18.855,20.908,87.577,33.764,55.025,243.33,10.261,16.087,0.02016,vapor
33,3800,0.082101,12.18,18.814,20.851,87.213,33.934,55.897,242.41,10.256,16.131,0.020306,vapor
33,3900,0.084931,11.774,18.772,20.793,86.852,34.108,56.809,241.49,10.25,16.176,0.02046,vapor
33,4000,0.087814,11.388,18.73,20.734,86.494,34.286,57.766,240.55,10.244,16.224,0.02062,vapor
33,4100,0.090755,11.019,18.687,20.675,86.138,34.469,58.77,239.61,10.237,16.274,0.020788,vapor
33,4200,0.093755,10.666,18.643,20.614,85.784,34.657,59.826,238.65,10.229,16.326,0.020964,vapor
33,4300,0.096818,10.329,18.598,20.552,85.431,34.85,60.938,237.68,10.22,16.38,0.021149,vapor
33,4400,0.099947,10.005,18.552,20.489,85.08,35.048,62.111,236.71,10.21,16.437,0.021343,vapor
33,4500,0.10314,9.6951,18.505,20.425,84.729,35.252,63.35,235.72,10.199,16.497,0.021548,vapor
33,4600,0.10642,9.397,18.458,20.36,84.379,35.462,64.661,234.71,10.187,16.56,0.021764,vapor
33,4700,0.10977,9.1103,18.409,20.294,84.029,35.679,66.051,233.7,10.174,16.625,0.021991,vapor
