Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
35,0,0,infinite,20.115,22.677,477.82,29.28,37.595,273.4,undefined,15.408,0.017409,vapor
35,100,0.0017254,579.57,20.088,22.639,121.8,29.374,37.862,272.71,10.053,15.415,0.017452,vapor
35,200,0.0034665,288.48,20.062,22.601,115.95,29.469,38.135,272.01,10.057,15.423,0.017496,vapor
35,300,0.0052235,191.44,20.035,22.562,112.49,29.564,38.415,271.32,10.06,15.431,0.017541,vapor
35,400,0.0069969,142.92,20.008,22.524,110.01,29.661,38.7,270.61,10.064,15.44,0.017587,vapor
35,500,0.008787,113.8,19.98,22.484,108.07,29.758,38.992,269.91,10.067,15.449,0.017634,vapor
35,600,0.010594,94.391,19.953,22.445,106.46,29.857,39.291,269.2,10.07,15.459,0.017683,vapor
35,700,0.012419,80.522,19.925,22.405,105.09,29.956,39.597,268.49,10.073,15.469,0.017733,vapor
35,800,0.014262,70.118,19.897,22.365,103.88,30.057,39.91,267.77,10.076,15.48,0.017784,vapor
35,900,0.016123,62.024,19.868,22.325,102.81,30.159,40.231,267.05,10.079,15.492,0.017837,vapor
35,1000,0.018003,55.547,19.84,22.284,101.84,30.262,40.56,266.33,10.082,15.504,0.017891,vapor
35,1100,0.019902,50.245,19.811,22.243,100.95,30.366,40.897,265.6,10.085,15.517,0.017947,vapor
35,1200,0.021822,45.826,19.781,22.202,100.13,30.471,41.243,264.87,10.088,15.531,0.018005,vapor
35,1300,0.023761,42.086,19.752,22.16,99.371,30.578,41.598,264.13,10.09,15.545,0.018064,vapor
35,1400,0.025722,38.878,19.722,22.118,98.657,30.686,41.962,263.39,10.093,15.56,0.018125,vapor
35,1500,0.027704,36.096,19.692,22.075,97.984,30.795,42.336,262.64,10.095,15.576,0.018188,vapor
35,1600,0.029708,33.661,19.662,22.032,97.347,30.906,42.721,261.89,10.097,15.592,0.018253,vapor
35,1700,0.031734,31.511,19.631,21.989,96.741,31.019,43.116,261.14,10.099,15.609,0.01832,vapor
35,1800,0.033785,29.599,19.6,21.945,96.163,31.132,43.522,260.38,10.101,15.627,0.018389,vapor
35,1900,0.035859,27.887,19.569,21.901,95.609,31.248,43.941,259.62,10.102,15.646,0.01846,vapor
35,2000,0.037957,26.345,19.537,21.856,95.078,31.365,44.371,258.85,10.104,15.666,0.018533,vapor
35,2100,0.040082,24.949,19.505,21.811,94.565,31.483,44.815,258.08,10.105,15.687,0.018608,vapor
35,2200,0.042232,23.679,19.473,21.766,94.07,31.604,45.272,257.3,10.106,15.708,0.018686,vapor
35,2300,0.044409,22.518,19.44,21.72,93.591,31.726,45.743,256.51,10.107,15.73,0.018767,vapor
35,2400,0.046615,21.452,19.407,21.673,93.127,31.85,46.23,255.73,10.107,15.754,0.01885,vapor
35,2500,0.048849,20.471,19.374,21.626,92.675,31.976,46.732,254.93,10.107,15.778,0.018936,vapor
35,2600,0.051113,19.565,19.34,21.579,92.235,32.104,47.251,254.13,10.107,15.804,0.019026,vapor
35,2700,0.053407,18.724,19.306,21.531,91.806,32.234,47.787,253.32,10.107,15.83,0.019118,vapor
35,2800,0.055733,17.943,19.271,21.482,91.386,32.367,48.342,252.51,10.106,15.858,0.019213,vapor
35,2900,0.058092,17.214,19.236,21.433,90.976,32.501,48.917,251.69,10.105,15.887,0.019312,vapor
35,3000,0.060485,16.533,19.201,21.383,90.574,32.638,49.512,250.87,10.104,15.917,0.019415,vapor
35,3100,0.062913,15.895,19.165,21.333,90.179,32.778,50.129,250.04,10.102,15.949,0.019521,vapor
35,3200,0.065378,15.296,19.128,21.282,89.791,32.92,50.769,249.2,10.1,15.982,0.019632,vapor
35,3300,0.06788,14.732,19.091,21.23,89.409,33.065,51.434,248.36,10.097,16.016,0.019746,vapor
35,3400,0.070422,14.2,19.053,21.178,89.033,33.212,52.125,247.51,10.094,16.051,0.019866,vapor
35,3500,0.073005,13.698,19.015,21.125,88.662,33.363,52.843,246.65,10.09,16.089,0.01999,vapor
35,3600,0.07563,13.222,18.977,21.072,88.295,33.516,53.592,245.78,10.086,16.127,0.020119,vapor
35,3700,0.078299,12.772,18.937,21.017,87.933,33.673,54.372,244.91,10.081,16.168,0.020253,vapor
35,3800,0.081015,12.343,18.898,20.962,87.575,33.833,55.186,244.03,10.076,16.21,0.020393,vapor
35,3900,0.083778,11.936,18.857,20.906,87.219,33.997,56.036,243.14,10.07,16.254,0.020539,vapor
35,4000,0.086592,11.548,18.816,20.849,86.867,34.165,56.924,242.24,10.064,16.3,0.020692,vapor
35,4100,0.089458,11.178,18.774,20.791,86.518,34.336,57.854,241.34,10.057,16.348,0.020851,vapor
35,4200,0.092378,10.825,18.732,20.733,86.17,34.512,58.829,240.42,10.049,16.398,0.021018,vapor
35,4300,0.095357,10.487,18.689,20.673,85.825,34.692,59.853,239.5,10.04,16.45,0.021193,vapor
35,4400,0.098395,10.163,18.644,20.612,85.48,34.876,60.928,238.56,10.03,16.505,0.021376,vapor
35,4500,0.1015,9.8525,18.6,20.551,85.138,35.065,62.059,237.62,10.019,16.562,0.021568,vapor
35,4600,0.10467,9.5543,18.554,20.488,84.795,35.26,63.252,236.66,10.008,16.622,0.021769,vapor
35,4700,0.1079,9.2675,18.507,20.424,84.454,35.46,64.511,235.7,9.9953,16.685,0.021981,vapor
35,4800,0.11122,8.9915,18.46,20.359,84.112,35.666,65.843,234.72,9.9816,16.751,0.022205,vapor
35,4900,0.11461,8.7255,18.411,20.293,83.77,35.878,67.253,233.73,9.9667,16.82,0.02244,vapor
35,5000,0.11808,8.4688,18.361,20.225,83.428,36.097,68.751,232.73,9.9504,16.892,0.022688,vapor
35,5100,0.12164,8.2209,18.311,20.156,83.084,36.323,70.343,231.72,9.9328,16.968,0.022951,vapor
35,5200,0.1253,7.9811,18.259,20.085,82.739,36.556,72.041,230.69,9.9137,17.048,0.023229,vapor
35,5300,0.12905,7.7489,18.206,20.013,82.392,36.797,73.855,229.65,9.8929,17.132,0.023525,vapor
35,5400,0.13291,7.5239,18.151,19.939,82.044,37.047,75.799,228.59,9.8704,17.22,0.023838,vapor
