Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
36,0,0,infinite,20.144,22.715,477.91,29.325,37.64,273.8,undefined,15.456,0.017491,vapor
36,100,0.0017197,581.48,20.118,22.677,121.92,29.418,37.904,273.11,9.9713,15.463,0.017533,vapor
36,200,0.0034549,289.44,20.091,22.639,116.07,29.511,38.174,272.43,9.9746,15.471,0.017577,vapor
36,300,0.0052058,192.09,20.065,22.601,112.61,29.605,38.45,271.73,9.978,15.479,0.017622,vapor
36,400,0.0069728,143.41,20.038,22.562,110.14,29.7,38.732,271.04,9.9812,15.488,0.017668,vapor
36,500,0.0087563,114.2,20.01,22.523,108.19,29.796,39.02,270.34,9.9844,15.497,0.017715,vapor
36,600,0.010557,94.727,19.983,22.484,106.59,29.893,39.315,269.64,9.9875,15.507,0.017763,vapor
36,700,0.012374,80.812,19.955,22.445,105.21,29.991,39.617,268.93,9.9906,15.517,0.017813,vapor
36,800,0.01421,70.375,19.927,22.405,104.01,30.091,39.926,268.23,9.9935,15.528,0.017864,vapor
36,900,0.016063,62.255,19.899,22.365,102.94,30.191,40.243,267.51,9.9963,15.54,0.017917,vapor
36,1000,0.017935,55.757,19.871,22.325,101.97,30.292,40.567,266.8,9.999,15.552,0.017971,vapor
36,1100,0.019826,50.439,19.842,22.284,101.09,30.395,40.899,266.08,10.002,15.565,0.018027,vapor
36,1200,0.021737,46.006,19.813,22.243,100.27,30.498,41.24,265.35,10.004,15.578,0.018084,vapor
36,1300,0.023667,42.253,19.784,22.201,99.506,30.603,41.59,264.63,10.007,15.593,0.018143,vapor
36,1400,0.025618,39.035,19.755,22.16,98.793,30.71,41.948,263.89,10.009,15.607,0.018203,vapor
36,1500,0.02759,36.245,19.725,22.117,98.121,30.817,42.316,263.16,10.011,15.623,0.018266,vapor
36,1600,0.029584,33.802,19.695,22.075,97.485,30.926,42.695,262.42,10.013,15.639,0.01833,vapor
36,1700,0.0316,31.646,19.664,22.032,96.881,31.036,43.083,261.67,10.015,15.656,0.018396,vapor
36,1800,0.033639,29.728,19.634,21.989,96.304,31.148,43.482,260.92,10.016,15.674,0.018464,vapor
36,1900,0.035701,28.01,19.603,21.945,95.752,31.261,43.893,260.17,10.017,15.693,0.018535,vapor
36,2000,0.037788,26.464,19.571,21.901,95.221,31.376,44.316,259.41,10.019,15.713,0.018607,vapor
36,2100,0.039899,25.063,19.54,21.856,94.71,31.493,44.751,258.65,10.02,15.733,0.018682,vapor
36,2200,0.042036,23.789,19.508,21.811,94.217,31.611,45.199,257.88,10.02,15.754,0.018759,vapor
