Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
40,0,0,infinite,20.262,22.866,478.29,29.504,37.819,275.38,undefined,15.648,0.017819,vapor
40,100,0.0016975,589.11,20.236,22.829,122.41,29.591,38.071,274.72,9.6534,15.655,0.017861,vapor
40,200,0.0034095,293.3,20.21,22.792,116.56,29.68,38.329,274.06,9.6563,15.663,0.017904,vapor
40,300,0.0051364,194.69,20.184,22.755,113.11,29.768,38.592,273.39,9.6591,15.671,0.017948,vapor
40,400,0.0068785,145.38,20.158,22.717,110.63,29.858,38.86,272.73,9.6619,15.68,0.017993,vapor
40,500,0.0086361,115.79,20.132,22.68,108.69,29.949,39.135,272.06,9.6645,15.689,0.018039,vapor
40,600,0.01041,96.066,20.105,22.642,107.09,30.04,39.415,271.39,9.6671,15.698,0.018087,vapor
40,700,0.012199,81.973,20.078,22.604,105.72,30.133,39.702,270.71,9.6696,15.709,0.018136,vapor
40,800,0.014005,71.401,20.051,22.565,104.53,30.226,39.995,270.03,9.6719,15.719,0.018186,vapor
40,900,0.015829,63.177,20.024,22.526,103.46,30.32,40.294,269.35,9.6742,15.731,0.018237,vapor
40,1000,0.017669,56.596,19.996,22.487,102.49,30.416,40.601,268.66,9.6763,15.743,0.01829,vapor
40,1100,0.019528,51.21,19.969,22.448,101.61,30.512,40.915,267.98,9.6783,15.755,0.018345,vapor
40,1200,0.021404,46.72,19.94,22.408,100.8,30.609,41.236,267.28,9.6801,15.768,0.0184,vapor
40,1300,0.023299,42.92,19.912,22.368,100.04,30.708,41.566,266.59,9.6819,15.782,0.018458,vapor
40,1400,0.025213,39.661,19.884,22.327,99.332,30.807,41.903,265.89,9.6834,15.797,0.018517,vapor
40,1500,0.027147,36.836,19.855,22.287,98.665,30.908,42.248,265.19,9.6849,15.812,0.018577,vapor
40,1600,0.029101,34.363,19.826,22.246,98.034,31.009,42.603,264.48,9.6861,15.828,0.01864,vapor
40,1700,0.031075,32.18,19.797,22.204,97.434,31.112,42.966,263.77,9.6872,15.844,0.018704,vapor
