Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
37,0,0,infinite,20.174,22.752,478,29.37,37.685,274.19,undefined,15.504,0.017573,vapor
37,100,0.0017141,583.39,20.147,22.715,122.04,29.461,37.946,273.52,9.8903,15.511,0.017615,vapor
37,200,0.0034434,290.41,20.121,22.677,116.2,29.553,38.213,272.83,9.8936,15.519,0.017659,vapor
37,300,0.0051883,192.74,20.094,22.639,112.74,29.646,38.485,272.15,9.8968,15.527,0.017703,vapor
37,400,0.006949,143.91,20.068,22.601,110.26,29.74,38.764,271.46,9.8999,15.536,0.017749,vapor
37,500,0.0087259,114.6,20.041,22.562,108.32,29.834,39.049,270.77,9.903,15.545,0.017796,vapor
37,600,0.010519,95.062,20.013,22.524,106.71,29.93,39.34,270.08,9.9059,15.555,0.017844,vapor
37,700,0.01233,81.103,19.986,22.485,105.34,30.027,39.638,269.38,9.9088,15.565,0.017894,vapor
37,800,0.014158,70.632,19.958,22.445,104.14,30.124,39.943,268.68,9.9116,15.576,0.017945,vapor
37,900,0.016004,62.486,19.93,22.405,103.07,30.223,40.255,267.97,9.9143,15.588,0.017997,vapor
37,1000,0.017868,55.967,19.902,22.365,102.1,30.323,40.575,267.27,9.9168,15.6,0.018051,vapor
37,1100,0.01975,50.632,19.874,22.325,101.22,30.424,40.902,266.55,9.9193,15.613,0.018106,vapor
37,1200,0.021652,46.185,19.845,22.284,100.4,30.526,41.238,265.84,9.9216,15.626,0.018163,vapor
37,1300,0.023574,42.42,19.816,22.243,99.64,30.629,41.582,265.12,9.9238,15.64,0.018221,vapor
37,1400,0.025515,39.192,19.787,22.202,98.928,30.733,41.935,264.4,9.9259,15.655,0.018281,vapor
37,1500,0.027478,36.393,19.757,22.16,98.258,30.839,42.298,263.67,9.9278,15.67,0.018343,vapor
37,1600,0.029461,33.943,19.728,22.118,97.623,30.946,42.67,262.94,9.9295,15.686,0.018407,vapor
37,1700,0.031467,31.78,19.697,22.075,97.02,31.055,43.052,262.2,9.9311,15.703,0.018473,vapor
37,1800,0.033494,29.856,19.667,22.032,96.444,31.164,43.444,261.46,9.9325,15.721,0.018541,vapor
37,1900,0.035545,28.133,19.636,21.989,95.893,31.276,43.848,260.72,9.9337,15.74,0.01861,vapor
37,2000,0.03762,26.582,19.605,21.945,95.364,31.388,44.263,259.97,9.9347,15.759,0.018682,vapor
37,2100,0.039719,25.177,19.574,21.901,94.855,31.503,44.69,259.22,9.9355,15.779,0.018756,vapor
37,2200,0.041842,23.899,19.542,21.856,94.363,31.619,45.129,258.46,9.9361,15.8,0.018833,vapor
37,2300,0.043992,22.731,19.51,21.811,93.887,31.736,45.582,257.7,9.9365,15.822,0.018912,vapor
37,2400,0.046168,21.66,19.478,21.766,93.425,31.855,46.049,256.93,9.9365,15.845,0.018993,vapor
37,2500,0.048372,20.673,19.445,21.72,92.977,31.976,46.53,256.16,9.9364,15.869,0.019077,vapor
37,2600,0.050604,19.761,19.412,21.673,92.54,32.099,47.027,255.38,9.9359,15.894,0.019164,vapor
37,2700,0.052865,18.916,19.378,21.626,92.114,32.224,47.539,254.6,9.9351,15.92,0.019254,vapor
37,2800,0.055156,18.13,19.345,21.579,91.698,32.35,48.069,253.81,9.9341,15.948,0.019347,vapor
37,2900,0.057479,17.398,19.31,21.531,91.291,32.479,48.616,253.02,9.9327,15.976,0.019443,vapor
37,3000,0.059833,16.713,19.275,21.482,90.893,32.61,49.183,252.22,9.9309,16.005,0.019543,vapor
37,3100,0.062221,16.072,19.24,21.433,90.502,32.743,49.769,251.41,9.9288,16.036,0.019646,vapor
37,3200,0.064643,15.47,19.205,21.383,90.118,32.878,50.376,250.6,9.9262,16.068,0.019753,vapor
37,3300,0.067101,14.903,19.169,21.333,89.74,33.016,51.005,249.79,9.9233,16.101,0.019864,vapor
37,3400,0.069595,14.369,19.132,21.282,89.368,33.156,51.658,248.96,9.9199,16.136,0.019979,vapor
37,3500,0.072128,13.864,19.095,21.23,89.002,33.299,52.336,248.14,9.9161,16.172,0.020098,vapor
37,3600,0.074701,13.387,19.057,21.178,88.64,33.445,53.04,247.3,9.9117,16.21,0.020222,vapor
37,3700,0.077315,12.934,19.019,21.125,88.283,33.593,53.773,246.46,9.9068,16.249,0.020351,vapor
37,3800,0.079972,12.504,18.98,21.072,87.929,33.745,54.535,245.61,9.9014,16.29,0.020485,vapor
37,3900,0.082674,12.096,18.941,21.017,87.58,33.899,55.329,244.75,9.8954,16.333,0.020625,vapor
37,4000,0.085422,11.707,18.901,20.962,87.233,34.057,56.158,243.89,9.8888,16.377,0.020771,vapor
37,4100,0.088219,11.335,18.861,20.906,86.889,34.218,57.023,243.02,9.8815,16.423,0.020922,vapor
37,4200,0.091066,10.981,18.82,20.849,86.548,34.383,57.927,242.14,9.8734,16.472,0.021081,vapor
37,4300,0.093966,10.642,18.778,20.792,86.209,34.551,58.872,241.26,9.8647,16.522,0.021246,vapor
37,4400,0.096922,10.318,18.735,20.733,85.871,34.724,59.863,240.36,9.8551,16.575,0.021419,vapor
37,4500,0.099935,10.007,18.692,20.674,85.535,34.9,60.902,239.46,9.8448,16.63,0.0216,vapor
37,4600,0.10301,9.7079,18.648,20.613,85.2,35.081,61.994,238.55,9.8335,16.687,0.02179,vapor
37,4700,0.10615,9.4209,18.603,20.552,84.867,35.267,63.141,237.63,9.8212,16.747,0.021988,vapor
37,4800,0.10935,9.1448,18.557,20.489,84.533,35.458,64.35,236.7,9.8079,16.81,0.022197,vapor
37,4900,0.11263,8.8789,18.511,20.426,84.2,35.653,65.625,235.76,9.7936,16.876,0.022416,vapor
