Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
21,0,0,infinite,19.709,22.155,476.47,28.642,36.957,267.78,undefined,14.73,0.016277,vapor
21,100,0.0018089,552.83,19.68,22.113,120.05,28.757,37.273,266.98,11.317,14.738,0.016321,vapor
21,200,0.003637,274.96,19.651,22.071,114.19,28.873,37.597,266.18,11.322,14.746,0.016367,vapor
21,300,0.0054847,182.32,19.621,22.028,110.72,28.991,37.93,265.37,11.328,14.754,0.016415,vapor
21,400,0.0073528,136,19.591,21.985,108.22,29.11,38.272,264.56,11.333,14.764,0.016464,vapor
21,500,0.0092416,108.21,19.56,21.941,106.26,29.231,38.623,263.75,11.339,14.774,0.016514,vapor
21,600,0.011152,89.671,19.529,21.897,104.64,29.353,38.984,262.92,11.344,14.784,0.016566,vapor
21,700,0.013084,76.428,19.498,21.853,103.25,29.477,39.356,262.09,11.35,14.796,0.01662,vapor
21,800,0.015039,66.492,19.467,21.808,102.03,29.603,39.738,261.25,11.356,14.807,0.016675,vapor
21,900,0.017018,58.762,19.435,21.762,100.94,29.731,40.132,260.41,11.361,14.82,0.016733,vapor
21,1000,0.019021,52.575,19.403,21.717,99.956,29.861,40.538,259.56,11.367,14.833,0.016792,vapor
21,1100,0.021048,47.51,19.37,21.67,99.051,29.993,40.956,258.7,11.373,14.848,0.016853,vapor
21,1200,0.023102,43.287,19.337,21.623,98.214,30.126,41.389,257.84,11.379,14.862,0.016917,vapor
21,1300,0.025182,39.712,19.304,21.576,97.433,30.263,41.835,256.97,11.384,14.878,0.016982,vapor
21,1400,0.027289,36.645,19.27,21.528,96.699,30.401,42.296,256.09,11.39,14.895,0.01705,vapor
21,1500,0.029425,33.985,19.236,21.48,96.006,30.542,42.773,255.2,11.395,14.912,0.017121,vapor
21,1600,0.03159,31.656,19.202,21.431,95.349,30.686,43.268,254.3,11.401,14.93,0.017194,vapor
21,1700,0.033786,29.598,19.167,21.381,94.722,30.832,43.779,253.4,11.406,14.95,0.01727,vapor
21,1800,0.036013,27.768,19.131,21.331,94.123,30.981,44.31,252.49,11.412,14.97,0.017348,vapor
21,1900,0.038273,26.128,19.095,21.28,93.547,31.133,44.861,251.56,11.417,14.991,0.01743,vapor
21,2000,0.040567,24.65,19.059,21.228,92.992,31.288,45.434,250.63,11.422,15.014,0.017515,vapor
21,2100,0.042897,23.312,19.022,21.176,92.456,31.447,46.029,249.69,11.427,15.037,0.017604,vapor
21,2200,0.045263,22.093,18.984,21.123,91.936,31.609,46.649,248.74,11.432,15.062,0.017696,vapor
21,2300,0.047668,20.978,18.946,21.07,91.431,31.775,47.294,247.78,11.436,15.088,0.017792,vapor
21,2400,0.050113,19.955,18.907,21.015,90.94,31.944,47.968,246.81,11.44,15.115,0.017892,vapor
21,2500,0.052599,19.012,18.868,20.96,90.461,32.118,48.672,245.82,11.444,15.143,0.017997,vapor
21,2600,0.055129,18.139,18.828,20.904,89.992,32.296,49.408,244.82,11.448,15.173,0.018106,vapor
21,2700,0.057704,17.33,18.787,20.847,89.533,32.479,50.179,243.82,11.452,15.205,0.01822,vapor
21,2800,0.060327,16.576,18.746,20.789,89.082,32.667,50.987,242.79,11.455,15.238,0.01834,vapor
21,2900,0.063001,15.873,18.704,20.73,88.64,32.86,51.836,241.76,11.457,15.272,0.018466,vapor
21,3000,0.065726,15.215,18.661,20.67,88.203,33.058,52.728,240.71,11.46,15.309,0.018598,vapor
21,3100,0.068507,14.597,18.617,20.609,87.773,33.263,53.669,239.65,11.461,15.347,0.018737,vapor
21,3200,0.071346,14.016,18.573,20.547,87.348,33.473,54.662,238.57,11.463,15.387,0.018883,vapor
21,3300,0.074247,13.469,18.528,20.484,86.927,33.691,55.711,237.47,11.463,15.429,0.019037,vapor
