Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
22,0,0,infinite,19.738,22.192,476.57,28.688,37.003,268.18,undefined,14.779,0.016357,vapor
22,100,0.0018027,554.74,19.709,22.15,120.18,28.801,37.315,267.4,11.219,14.786,0.016401,vapor
22,200,0.0036242,275.92,19.68,22.108,114.32,28.916,37.635,266.6,11.224,14.794,0.016447,vapor
22,300,0.0054652,182.98,19.65,22.066,110.84,29.032,37.964,265.81,11.23,14.803,0.016494,vapor
22,400,0.007326,136.5,19.62,22.023,108.35,29.149,38.301,265,11.235,14.812,0.016543,vapor
22,500,0.0092074,108.61,19.59,21.98,106.39,29.268,38.648,264.19,11.24,14.822,0.016593,vapor
22,600,0.01111,90.01,19.559,21.936,104.77,29.389,39.004,263.38,11.246,14.833,0.016645,vapor
22,700,0.013034,76.722,19.529,21.892,103.38,29.511,39.37,262.56,11.251,14.844,0.016699,vapor
22,800,0.014981,66.753,19.497,21.848,102.17,29.634,39.746,261.73,11.256,14.856,0.016754,vapor
22,900,0.01695,58.996,19.466,21.803,101.08,29.76,40.134,260.9,11.262,14.868,0.016811,vapor
22,1000,0.018943,52.789,19.434,21.757,100.09,29.888,40.534,260.06,11.267,14.882,0.01687,vapor
22,1100,0.020961,47.707,19.402,21.711,99.19,30.017,40.946,259.21,11.273,14.896,0.016931,vapor
22,1200,0.023004,43.47,19.369,21.665,98.354,30.149,41.371,258.36,11.278,14.91,0.016993,vapor
22,1300,0.025073,39.883,19.336,21.618,97.575,30.282,41.809,257.49,11.284,14.926,0.017059,vapor
22,1400,0.027169,36.807,19.303,21.571,96.843,30.418,42.262,256.63,11.289,14.942,0.017126,vapor
22,1500,0.029293,34.138,19.269,21.523,96.152,30.556,42.731,255.75,11.294,14.96,0.017196,vapor
22,1600,0.031445,31.801,19.235,21.474,95.496,30.697,43.215,254.87,11.299,14.978,0.017268,vapor
22,1700,0.033628,29.737,19.2,21.425,94.871,30.84,43.717,253.97,11.305,14.997,0.017343,vapor
22,1800,0.035841,27.901,19.165,21.375,94.273,30.986,44.237,253.07,11.31,15.017,0.017421,vapor
22,1900,0.038086,26.256,19.129,21.325,93.699,31.135,44.777,252.16,11.314,15.038,0.017502,vapor
22,2000,0.040365,24.774,19.093,21.274,93.146,31.287,45.336,251.25,11.319,15.06,0.017586,vapor
22,2100,0.042678,23.431,19.057,21.222,92.612,31.442,45.918,250.32,11.324,15.083,0.017673,vapor
22,2200,0.045027,22.209,19.019,21.17,92.094,31.601,46.523,249.38,11.328,15.108,0.017764,vapor
22,2300,0.047413,21.091,18.982,21.117,91.592,31.762,47.153,248.43,11.332,15.133,0.017859,vapor
22,2400,0.049838,20.065,18.944,21.063,91.103,31.928,47.81,247.48,11.336,15.16,0.017958,vapor
22,2500,0.052304,19.119,18.905,21.008,90.626,32.097,48.495,246.51,11.34,15.188,0.018061,vapor
22,2600,0.054811,18.244,18.865,20.953,90.159,32.271,49.21,245.53,11.343,15.218,0.018168,vapor
22,2700,0.057363,17.433,18.825,20.897,89.703,32.449,49.959,244.54,11.346,15.249,0.018281,vapor
22,2800,0.059962,16.677,18.784,20.84,89.255,32.631,50.743,243.53,11.349,15.282,0.018398,vapor
22,2900,0.062608,15.972,18.743,20.781,88.815,32.819,51.566,242.52,11.351,15.316,0.018521,vapor
22,3000,0.065305,15.313,18.701,20.722,88.382,33.011,52.429,241.49,11.353,15.351,0.01865,vapor
22,3100,0.068056,14.694,18.658,20.662,87.955,33.209,53.338,240.44,11.355,15.389,0.018786,vapor
22,3200,0.070863,14.112,18.614,20.601,87.533,33.414,54.295,239.38,11.356,15.429,0.018929,vapor
22,3300,0.073728,13.563,18.569,20.539,87.116,33.624,55.306,238.31,11.356,15.47,0.019079,vapor
22,3400,0.076656,13.045,18.524,20.476,86.703,33.841,56.374,237.22,11.356,15.514,0.019237,vapor
22,3500,0.07965,12.555,18.477,20.411,86.293,34.066,57.506,236.12,11.355,15.56,0.019404,vapor
22,3600,0.082714,12.09,18.43,20.345,85.886,34.298,58.709,234.99,11.353,15.608,0.019581,vapor
22,3700,0.085851,11.648,18.381,20.278,85.48,34.539,59.988,233.85,11.351,15.659,0.019769,vapor
22,3800,0.089067,11.227,18.331,20.209,85.077,34.789,61.353,232.68,11.347,15.712,0.019968,vapor
22,3900,0.092368,10.826,18.28,20.138,84.674,35.049,62.813,231.5,11.343,15.769,0.020179,vapor
22,4000,0.095758,10.443,18.228,20.066,84.271,35.32,64.38,230.29,11.337,15.828,0.020405,vapor
22,4100,0.099244,10.076,18.174,19.992,83.867,35.602,66.066,229.06,11.331,15.892,0.020646,vapor
22,4200,0.10283,9.7245,18.119,19.917,83.463,35.898,67.886,227.8,11.323,15.958,0.020904,vapor
22,4300,0.10653,9.3866,18.062,19.839,83.056,36.207,69.859,226.52,11.313,16.029,0.021182,vapor
22,4400,0.11036,9.0615,18.004,19.758,82.647,36.533,72.006,225.2,11.302,16.105,0.021481,vapor
