Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
52,0,0,infinite,20.619,23.323,479.41,30.031,38.346,280.06,undefined,16.222,0.018809,vapor
52,166.67,0.0027302,366.28,20.579,23.266,119.56,30.155,38.717,279.09,8.788,16.234,0.018877,vapor
52,333.33,0.005495,181.98,20.539,23.209,113.67,30.281,39.099,278.1,8.7905,16.247,0.018947,vapor
52,500,0.0082956,120.55,20.499,23.152,110.17,30.408,39.493,277.11,8.7926,16.261,0.01902,vapor
52,666.67,0.011133,89.823,20.458,23.093,107.65,30.537,39.9,276.12,8.7945,16.277,0.019096,vapor
52,833.33,0.014008,71.386,20.416,23.035,105.67,30.668,40.319,275.13,8.796,16.293,0.019175,vapor
52,1000,0.016923,59.091,20.375,22.975,104.02,30.8,40.753,274.12,8.7971,16.312,0.019258,vapor
52,1166.7,0.019878,50.307,20.332,22.915,102.61,30.935,41.201,273.12,8.7978,16.332,0.019343,vapor
52,1333.3,0.022875,43.716,20.289,22.854,101.37,31.071,41.664,272.11,8.7981,16.353,0.019432,vapor
52,1500,0.025915,38.587,20.246,22.793,100.25,31.209,42.143,271.09,8.798,16.376,0.019525,vapor
52,1666.7,0.029001,34.482,20.201,22.731,99.237,31.35,42.64,270.07,8.7974,16.401,0.019621,vapor
52,1833.3,0.032132,31.122,20.157,22.668,98.305,31.492,43.154,269.04,8.7963,16.427,0.019722,vapor
52,2000,0.035312,28.319,20.111,22.604,97.44,31.637,43.687,268.01,8.7946,16.456,0.019827,vapor
52,2166.7,0.038541,25.946,20.066,22.54,96.63,31.784,44.241,266.97,8.7924,16.486,0.019936,vapor
52,2333.3,0.041822,23.911,20.019,22.474,95.868,31.933,44.815,265.93,8.7896,16.518,0.02005,vapor
52,2500,0.045157,22.145,19.972,22.408,95.146,32.085,45.413,264.88,8.7861,16.553,0.020169,vapor
52,2666.7,0.048547,20.598,19.924,22.341,94.458,32.24,46.034,263.82,8.782,16.59,0.020294,vapor
52,2833.3,0.051996,19.232,19.875,22.274,93.8,32.397,46.681,262.76,8.7772,16.629,0.020424,vapor
52,3000,0.055505,18.017,19.826,22.205,93.169,32.557,47.355,261.7,8.7715,16.67,0.02056,vapor
52,3166.7,0.059076,16.927,19.776,22.135,92.561,32.719,48.059,260.62,8.7651,16.714,0.020702,vapor
52,3333.3,0.062714,15.945,19.725,22.064,91.973,32.885,48.793,259.55,8.7578,16.761,0.020852,vapor
52,3500,0.066419,15.056,19.674,21.993,91.403,33.054,49.56,258.46,8.7495,16.81,0.021008,vapor
52,3666.7,0.070196,14.246,19.621,21.92,90.848,33.226,50.363,257.37,8.7402,16.863,0.021172,vapor
52,3833.3,0.074048,13.505,19.568,21.846,90.308,33.401,51.203,256.28,8.7299,16.918,0.021344,vapor
52,4000,0.077978,12.824,19.513,21.771,89.78,33.58,52.085,255.17,8.7185,16.977,0.021525,vapor
52,4166.7,0.081989,12.197,19.458,21.695,89.263,33.763,53.01,254.07,8.7058,17.04,0.021715,vapor
52,4333.3,0.086087,11.616,19.402,21.617,88.756,33.95,53.982,252.95,8.6918,17.106,0.021915,vapor
52,4500,0.090274,11.077,19.344,21.538,88.258,34.141,55.006,251.83,8.6764,17.176,0.022126,vapor
52,4666.7,0.094557,10.576,19.286,21.458,87.767,34.336,56.085,250.71,8.6596,17.251,0.022348,vapor
52,4833.3,0.098939,10.107,19.226,21.376,87.283,34.535,57.223,249.58,8.6411,17.33,0.022583,vapor
52,5000,0.10343,9.6688,19.165,21.293,86.804,34.739,58.426,248.44,8.621,17.413,0.022831,vapor
52,5166.7,0.10802,9.2572,19.103,21.208,86.33,34.949,59.7,247.3,8.599,17.502,0.023093,vapor
52,5333.3,0.11274,8.8701,19.04,21.122,85.86,35.163,61.05,246.15,8.5751,17.596,0.023371,vapor
52,5500,0.11758,8.505,18.975,21.034,85.393,35.383,62.485,245,8.549,17.696,0.023666,vapor
52,5666.7,0.12255,8.16,18.909,20.944,84.928,35.609,64.011,243.84,8.5207,17.802,0.023979,vapor
52,5833.3,0.12766,7.8334,18.841,20.852,84.465,35.841,65.638,242.68,8.49,17.915,0.024312,vapor
52,6000,0.13292,7.5235,18.771,20.758,84.003,36.08,67.376,241.51,8.4566,18.035,0.024666,vapor
52,6166.7,0.13833,7.2289,18.7,20.662,83.541,36.325,69.237,240.34,8.4204,18.163,0.025043,vapor
52,6333.3,0.14392,6.9483,18.627,20.564,83.079,36.578,71.232,239.17,8.3812,18.299,0.025446,vapor
52,6500,0.14969,6.6807,18.552,20.463,82.615,36.838,73.378,238,8.3387,18.445,0.025877,vapor
52,6666.7,0.15565,6.4248,18.475,20.36,82.15,37.107,75.691,236.82,8.2926,18.6,0.026337,vapor
52,6833.3,0.16181,6.1799,18.395,20.254,81.682,37.385,78.19,235.65,8.2427,18.766,0.026831,vapor
52,7000,0.16821,5.9451,18.313,20.145,81.21,37.672,80.898,234.48,8.1886,18.944,0.027361,vapor
52,7166.7,0.17484,5.7195,18.229,20.033,80.734,37.968,83.839,233.3,8.13,19.135,0.027931,vapor
52,7333.3,0.18174,5.5025,18.142,19.917,80.253,38.275,87.043,232.14,8.0664,19.34,0.028545,vapor
52,7500,0.18891,5.2934,18.051,19.799,79.766,38.593,90.545,230.98,7.9976,19.561,0.029207,vapor
