Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
38,0,0,infinite,20.203,22.79,478.1,29.415,37.729,274.59,undefined,15.552,0.017655,vapor
38,100,0.0017085,585.3,20.177,22.753,122.17,29.505,37.988,273.92,9.8104,15.559,0.017697,vapor
38,200,0.003432,291.37,20.151,22.715,116.32,29.595,38.251,273.24,9.8135,15.567,0.01774,vapor
38,300,0.0051709,193.39,20.124,22.678,112.86,29.687,38.521,272.57,9.8166,15.575,0.017784,vapor
38,400,0.0069253,144.4,20.098,22.64,110.39,29.779,38.796,271.89,9.8196,15.584,0.01783,vapor
38,500,0.0086957,115,20.071,22.602,108.44,29.872,39.077,271.2,9.8225,15.593,0.017877,vapor
38,600,0.010483,95.397,20.044,22.563,106.84,29.967,39.365,270.51,9.8253,15.603,0.017925,vapor
38,700,0.012286,81.393,20.017,22.524,105.47,30.062,39.659,269.82,9.8281,15.613,0.017974,vapor
38,800,0.014107,70.888,19.989,22.485,104.27,30.158,39.96,269.13,9.8307,15.624,0.018025,vapor
38,900,0.015945,62.716,19.962,22.446,103.2,30.255,40.268,268.43,9.8332,15.635,0.018077,vapor
38,1000,0.017801,56.177,19.934,22.406,102.23,30.354,40.583,267.73,9.8357,15.647,0.01813,vapor
38,1100,0.019675,50.825,19.905,22.366,101.35,30.453,40.906,267.03,9.838,15.66,0.018185,vapor
38,1200,0.021569,46.363,19.877,22.325,100.53,30.553,41.237,266.32,9.8401,15.673,0.018242,vapor
38,1300,0.023481,42.587,19.848,22.285,99.774,30.655,41.576,265.61,9.8422,15.687,0.0183,vapor
38,1400,0.025414,39.349,19.819,22.244,99.063,30.758,41.923,264.9,9.8441,15.702,0.01836,vapor
38,1500,0.027366,36.541,19.79,22.202,98.394,30.862,42.28,264.18,9.8458,15.717,0.018421,vapor
38,1600,0.02934,34.083,19.76,22.16,97.76,30.967,42.646,263.45,9.8474,15.734,0.018485,vapor
38,1700,0.031335,31.913,19.73,22.118,97.158,31.073,43.022,262.73,9.8488,15.75,0.01855,vapor
38,1800,0.033352,29.983,19.7,22.076,96.584,31.181,43.408,262,9.85,15.768,0.018617,vapor
38,1900,0.035391,28.256,19.67,22.033,96.034,31.291,43.804,261.26,9.851,15.786,0.018686,vapor
38,2000,0.037454,26.7,19.639,21.989,95.507,31.401,44.212,260.52,9.8519,15.806,0.018757,vapor
38,2100,0.03954,25.291,19.608,21.945,94.998,31.513,44.631,259.78,9.8525,15.826,0.018831,vapor
38,2200,0.041651,24.009,19.577,21.901,94.508,31.627,45.062,259.03,9.8529,15.847,0.018906,vapor
38,2300,0.043787,22.838,19.545,21.857,94.033,31.742,45.506,258.28,9.8531,15.868,0.018984,vapor
