Temperature (C),Pressure (MPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Pressure (kPa)
60,0,0,infinite,20.861,23.631,480.14,30.375,38.69,283.14,undefined,16.602,0.019475,vapor,0
60,0.1,0.0015943,627.24,20.838,23.599,124.79,30.442,38.893,282.6,8.2731,16.609,0.019514,vapor,100
60,0.2,0.0031997,312.53,20.815,23.566,118.96,30.509,39.1,282.05,8.274,16.616,0.019554,vapor,200
60,0.3,0.0048163,207.63,20.793,23.534,115.52,30.577,39.31,281.51,8.2747,16.624,0.019595,vapor,300
60,0.4,0.0064443,155.18,20.77,23.501,113.06,30.645,39.524,280.96,8.2753,16.631,0.019637,vapor,400
60,0.5,0.008084,123.7,20.746,23.468,111.14,30.714,39.741,280.41,8.2757,16.64,0.01968,vapor,500
60,0.6,0.0097355,102.72,20.723,23.435,109.55,30.783,39.962,279.86,8.2761,16.649,0.019724,vapor,600
60,0.7,0.011399,87.727,20.7,23.402,108.2,30.853,40.187,279.31,8.2763,16.658,0.019769,vapor,700
60,0.8,0.013075,76.484,20.676,23.369,107.02,30.923,40.416,278.76,8.2764,16.668,0.019815,vapor,800
60,0.9,0.014763,67.738,20.652,23.335,105.96,30.994,40.649,278.21,8.2764,16.678,0.019861,vapor,900
60,1,0.016464,60.74,20.628,23.302,105.02,31.065,40.887,277.66,8.2762,16.689,0.019909,vapor,1000
60,1.1,0.018177,55.014,20.604,23.268,104.15,31.137,41.128,277.1,8.2759,16.7,0.019958,vapor,1100
60,1.2,0.019904,50.241,20.58,23.234,103.35,31.21,41.374,276.55,8.2754,16.712,0.020008,vapor,1200
60,1.3,0.021644,46.202,20.556,23.199,102.61,31.283,41.624,275.99,8.2748,16.724,0.020059,vapor,1300
60,1.4,0.023398,42.739,20.531,23.165,101.92,31.356,41.879,275.44,8.274,16.737,0.020112,vapor,1400
60,1.5,0.025165,39.737,20.507,23.13,101.28,31.43,42.139,274.88,8.2731,16.75,0.020165,vapor,1500
60,1.6,0.026947,37.11,20.482,23.095,100.66,31.505,42.403,274.32,8.272,16.764,0.02022,vapor,1600
60,1.7,0.028742,34.792,20.457,23.06,100.08,31.58,42.673,273.76,8.2708,16.779,0.020276,vapor,1700
60,1.8,0.030553,32.73,20.432,23.024,99.531,31.655,42.948,273.2,8.2693,16.794,0.020333,vapor,1800
60,1.9,0.032378,30.885,20.406,22.989,99.004,31.732,43.228,272.63,8.2677,16.81,0.020391,vapor,1900
60,2,0.034219,29.224,20.381,22.953,98.499,31.809,43.514,272.07,8.2659,16.826,0.020451,vapor,2000
60,2.1,0.036074,27.721,20.355,22.917,98.015,31.886,43.805,271.51,8.2639,16.843,0.020513,vapor,2100
60,2.2,0.037946,26.353,20.329,22.88,97.549,31.964,44.103,270.94,8.2617,16.86,0.020575,vapor,2200
60,2.3,0.039834,25.104,20.303,22.844,97.1,32.043,44.406,270.37,8.2594,16.879,0.02064,vapor,2300
60,2.4,0.041737,23.959,20.276,22.807,96.665,32.123,44.715,269.81,8.2568,16.898,0.020705,vapor,2400
60,2.5,0.043658,22.905,20.25,22.77,96.245,32.203,45.031,269.24,8.2539,16.917,0.020773,vapor,2500
60,2.6,0.045596,21.932,20.223,22.733,95.837,32.283,45.354,268.67,8.2509,16.938,0.020841,vapor,2600
60,2.7,0.047551,21.03,20.196,22.695,95.44,32.365,45.683,268.1,8.2476,16.959,0.020912,vapor,2700
60,2.8,0.049524,20.192,20.169,22.657,95.054,32.447,46.02,267.52,8.2441,16.98,0.020984,vapor,2800
60,2.9,0.051514,19.412,20.142,22.619,94.679,32.53,46.363,266.95,8.2404,17.003,0.021058,vapor,2900
60,3,0.053524,18.683,20.114,22.581,94.312,32.613,46.714,266.38,8.2364,17.026,0.021134,vapor,3000
60,3.1,0.055552,18.001,20.087,22.542,93.954,32.697,47.073,265.8,8.2321,17.051,0.021212,vapor,3100
60,3.2,0.057599,17.361,20.059,22.504,93.604,32.782,47.44,265.22,8.2276,17.076,0.021291,vapor,3200
60,3.3,0.059667,16.76,20.03,22.464,93.261,32.868,47.815,264.65,8.2228,17.101,0.021373,vapor,3300
60,3.4,0.061754,16.193,20.002,22.425,92.925,32.955,48.199,264.07,8.2177,17.128,0.021457,vapor,3400
60,3.5,0.063862,15.659,19.973,22.385,92.595,33.042,48.592,263.49,8.2123,17.156,0.021542,vapor,3500
60,3.6,0.06599,15.154,19.944,22.345,92.271,33.13,48.994,262.91,8.2065,17.184,0.02163,vapor,3600
60,3.7,0.068141,14.676,19.915,22.305,91.953,33.219,49.405,262.33,8.2005,17.214,0.021721,vapor,3700
60,3.8,0.070313,14.222,19.886,22.264,91.64,33.309,49.826,261.74,8.1942,17.244,0.021813,vapor,3800
60,3.9,0.072508,13.792,19.856,22.223,91.332,33.399,50.257,261.16,8.1875,17.276,0.021908,vapor,3900
