Temperature (C),Pressure (MPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Pressure (kPa)
60,4,0.074726,13.382,19.826,22.182,91.029,33.49,50.699,260.58,8.1804,17.308,0.022006,vapor,4000
60,4.1,0.076967,12.993,19.796,22.14,90.729,33.583,51.152,259.99,8.173,17.342,0.022106,vapor,4100
60,4.2,0.079232,12.621,19.765,22.098,90.434,33.676,51.616,259.41,8.1653,17.377,0.022209,vapor,4200
60,4.3,0.081523,12.267,19.734,22.056,90.143,33.77,52.092,258.82,8.1571,17.413,0.022314,vapor,4300
60,4.4,0.083838,11.928,19.703,22.013,89.855,33.865,52.58,258.23,8.1486,17.45,0.022423,vapor,4400
60,4.5,0.086179,11.604,19.672,21.97,89.57,33.961,53.081,257.65,8.1396,17.488,0.022534,vapor,4500
60,4.6,0.088547,11.293,19.64,21.927,89.289,34.058,53.595,257.06,8.1302,17.527,0.022648,vapor,4600
60,4.7,0.090943,10.996,19.609,21.883,89.01,34.156,54.122,256.47,8.1203,17.568,0.022766,vapor,4700
60,4.8,0.093366,10.711,19.576,21.839,88.735,34.255,54.664,255.88,8.11,17.61,0.022887,vapor,4800
60,4.9,0.095817,10.437,19.544,21.794,88.461,34.354,55.221,255.29,8.0993,17.653,0.023011,vapor,4900
60,5,0.098298,10.173,19.511,21.749,88.19,34.455,55.793,254.7,8.088,17.698,0.023139,vapor,5000
60,5.1,0.10081,9.9197,19.478,21.704,87.922,34.557,56.381,254.11,8.0762,17.744,0.023271,vapor,5100
60,5.2,0.10335,9.6757,19.444,21.658,87.655,34.661,56.985,253.52,8.064,17.792,0.023406,vapor,5200
60,5.3,0.10593,9.4406,19.41,21.612,87.39,34.765,57.607,252.93,8.0511,17.841,0.023545,vapor,5300
60,5.4,0.10853,9.2138,19.376,21.566,87.127,34.87,58.247,252.34,8.0377,17.892,0.023689,vapor,5400
60,5.5,0.11117,8.995,19.341,21.519,86.865,34.977,58.906,251.75,8.0238,17.945,0.023837,vapor,5500
60,5.6,0.11385,8.7837,19.306,21.471,86.605,35.084,59.585,251.16,8.0092,17.999,0.023989,vapor,5600
60,5.7,0.11656,8.5795,19.271,21.423,86.347,35.193,60.284,250.57,7.994,18.055,0.024146,vapor,5700
60,5.8,0.1193,8.382,19.235,21.375,86.089,35.303,61.004,249.99,7.9782,18.113,0.024307,vapor,5800
60,5.9,0.12209,8.1908,19.199,21.326,85.833,35.415,61.746,249.4,7.9617,18.172,0.024474,vapor,5900
60,6,0.12491,8.0057,19.162,21.276,85.578,35.528,62.512,248.81,7.9445,18.234,0.024646,vapor,6000
60,6.1,0.12777,7.8264,19.125,21.226,85.323,35.642,63.303,248.22,7.9266,18.298,0.024823,vapor,6100
60,6.2,0.13068,7.6525,19.088,21.176,85.07,35.757,64.118,247.64,7.908,18.363,0.025006,vapor,6200
60,6.3,0.13362,7.4838,19.05,21.125,84.817,35.874,64.961,247.05,7.8886,18.431,0.025194,vapor,6300
60,6.4,0.13661,7.3201,19.012,21.073,84.564,35.992,65.831,246.47,7.8684,18.502,0.025389,vapor,6400
60,6.5,0.13964,7.1611,18.973,21.021,84.312,36.112,66.73,245.89,7.8474,18.574,0.02559,vapor,6500
60,6.6,0.14272,7.0066,18.934,20.969,84.061,36.233,67.66,245.31,7.8255,18.65,0.025798,vapor,6600
60,6.7,0.14585,6.8563,18.894,20.915,83.809,36.356,68.622,244.73,7.8028,18.727,0.026012,vapor,6700
60,6.8,0.14903,6.7102,18.853,20.862,83.558,36.48,69.618,244.15,7.7792,18.808,0.026234,vapor,6800
60,6.9,0.15225,6.568,18.813,20.807,83.307,36.606,70.648,243.58,7.7546,18.891,0.026463,vapor,6900
60,7,0.15553,6.4295,18.771,20.752,83.056,36.733,71.716,243.01,7.729,18.977,0.026699,vapor,7000
60,7.1,0.15887,6.2946,18.729,20.696,82.804,36.862,72.822,242.44,7.7024,19.066,0.026944,vapor,7100
60,7.2,0.16226,6.1631,18.687,20.64,82.553,36.993,73.968,241.87,7.6748,19.158,0.027197,vapor,7200
60,7.3,0.1657,6.0349,18.644,20.583,82.301,37.125,75.157,241.31,7.6461,19.253,0.027459,vapor,7300
60,7.4,0.16921,5.9098,18.6,20.525,82.048,37.259,76.391,240.76,7.6163,19.352,0.02773,vapor,7400
60,7.5,0.17278,5.7878,18.556,20.466,81.795,37.395,77.672,240.2,7.5853,19.455,0.02801,supercritical,7500
60,7.6,0.17641,5.6686,18.511,20.407,81.542,37.533,79.003,239.65,7.553,19.561,0.0283,supercritical,7600
60,7.7,0.18011,5.5522,18.466,20.347,81.287,37.673,80.385,239.11,7.5196,19.671,0.0286,supercritical,7700
60,7.8,0.18388,5.4385,18.419,20.286,81.032,37.814,81.821,238.57,7.4848,19.785,0.028911,supercritical,7800
60,7.9,0.18771,5.3273,18.372,20.225,80.776,37.957,83.315,238.04,7.4487,19.903,0.029233,supercritical,7900
60,8,0.19162,5.2186,18.325,20.162,80.519,38.102,84.869,237.52,7.4112,20.026,0.029567,supercritical,8000
