,date,time,elapsed time [min],mass co2 [g],mass co2 (leak) [g],mass co2 [g] (corr),mass c5 [g],mass polyol [g],pressure (isco) [psi],temperature (isco) [C],volume (isco) [mL],mass co2 (isco) [g],mass co2 leak (isco) [g],mass co2 (refill) [g],peak area (back) co2 [a.u.],peak area (back) c5 [a.u.],peak area (front) co2 [a.u.],peak area (front) c5 [a.u.],pressure [psi],temperature [C],density co2 (vap) [g/mL],density c5 (vap) [g/mL],density co2 (liq) [g/mL],density c5 (liq) [g/mL],density polyol (liq) [g/mL],density co2 (tot) [g/mL],density co2 (tot) [g/mL] (corr),density c5 (tot) [g/mL],density polyol (tot) [g/mL],w co2 (vap) [w/w],w c5 (vap) [w/w],w co2 (liq) [w/w],w c5 (liq) [w/w],w polyol (liq) [w/w],w co2 (tot) [w/w],w c5 (tot) [w/w],w polyol (tot) [w/w],w co2 (tot) [w/w] (corr),w c5 (tot) [w/w] (corr),w polyol (tot) [w/w] (corr),liquid volume [mL],mass c5 (pred) [g],mass c5 (missing) [g],mass co2 (pred) [g],mass co2 (missing) [g],is error
0,10/2/2019,15:50:44,0,64.32065488107978,0.0,64.32065488107978,78.36886232895702,83.11146595355925,1000,21,289.1,229.8529212128574,0,0.0,40400000.0,10800000.0,30000000.0,1230000000.0,350,41,0.04388080099622183,0.004539062831364382,0.04224125457332258,0.3731545855214864,0.4387670232203773,0.053600545734233146,0.053600545734233146,0.06530738527413085,0.06925955496129937,0.9062561834637307,0.09374381653626926,0.04945339628718504,0.43686585023515856,0.5136807534776564,0.2835309363813605,0.34545663380375863,0.36636243535467916,0.2835309363813605,0.34545663380375863,0.36636243535467916,189.4204932347782,75.27020951959574,3.0986528093612833,52.346397503359306,11.97425737772047,False
1,10/3/2019,9:09:35,1039,64.32065488107978,5.94280266920877,58.37785221187101,77.66496694398003,82.24980121905647,1000,21,282.88,224.90762487960257,4.945296333254845,0.0,52700000.0,7230000.0,66200000.0,1160000000.0,325,39,0.04236239398027539,0.0025660544680004773,0.08112816295326039,0.35194769248849456,0.43083236725139346,0.053600545734233146,0.048648210176559174,0.06472080578665003,0.06854150101588039,0.9428857537567837,0.0571142462432163,0.09390831204309107,0.4073901408083979,0.4987015471485109,0.28550121527750066,0.3447328465170158,0.36508363056609583,0.2661432316817231,0.35407272634675385,0.3749748761254989,190.90905760816057,69.77938462168858,7.885582322291455,58.2356091984187,6.085045682661075,False
2,10/3/2019,9:19:54,1049,64.32065488107978,6.0,58.320654881079776,76.96713067129818,81.3885761247379,1000,21,282.5,224.60550066631689,5.247420546540525,0.0,56700000.0,6290000.0,71200000.0,1150000000.0,325,38,0.04272613073865543,0.0022023177096204306,0.08649928289524075,0.34891813634092433,0.43061254715928526,0.053600545734233146,0.04860054573423315,0.06413927555941515,0.06782381343728158,0.9509816656109132,0.049018334389086725,0.09988024231455184,0.40289383725735867,0.4972259204280896,0.2874907180157792,0.34401601944532867,0.3637783264434014,0.2678561644789154,0.3534960376319376,0.3738029327281261,189.00651330680327,68.17432923936126,8.792801431936923,59.544767751950886,4.77588712912889,False
3,10/3/2019,12:38:37,1248,182.2604069831734,15.856777493606138,166.40362948956727,76.38623526591255,80.65649887719593,1000,21,139.9,111.22941431227517,5.247420546540525,4.563665748051903,60800000.0,4440000.0,209000000.0,957000000.0,715,34,0.1201648132322972,0.004682727612530373,0.2345273484962195,0.2904477026928183,0.3660386237709833,0.15188367248597784,0.13866969124130604,0.06365519605492712,0.06721374906432995,0.9624924321228682,0.03750756787713194,0.263214084235848,0.32597446128517654,0.41081145447897544,0.5354961436880435,0.22442907427239633,0.23697546179683956,0.5127981279699737,0.23539581779067964,0.24855528548090636,220.3496943744923,68.5874980569123,7.798737209000251,169.397525572054,12.862881411119389,False
4,10/3/2019,12:51:33,1261,182.2604069831734,16.5383631713555,165.7220438118179,75.81442852896961,79.92087141896583,1000,21,139.9,111.22941431227517,5.247420546540525,4.563665748051903,58400000.0,4050000.0,214000000.0,942000000.0,715,33,0.12022869742795388,0.004618843416873702,0.23989846843819987,0.28590336847146286,0.36781372911504745,0.15188367248597784,0.13810170317651493,0.06317869044080801,0.06660072618247152,0.9630041297920763,0.036995870207923776,0.2684582471021618,0.31994000478675305,0.411601748111085,0.5375611039026111,0.2236080154015078,0.23571960897028105,0.5138473284846375,0.23507459034500777,0.24780726404408038,217.2862650104276,66.66187595459216,9.152552574377452,170.27703449101415,11.983372492159248,False
5,10/3/2019,14:42:25,1372,182.2604069831734,22.358056265984654,159.90235071718874,75.25231637169891,79.16936070699022,1000,21,139.9,111.22941431227517,5.247420546540525,4.563665748051903,57900000.0,3580000.0,210000000.0,926000000.0,725,36,0.11902309799833043,0.0043139265016695506,0.23560157248461558,0.2810560786353505,0.37575535598780674,0.15188367248597784,0.13325195893099062,0.06271026364308242,0.06597446725582518,0.9650232643510095,0.03497673564899039,0.2640050857709686,0.3149394690539383,0.421055445175093,0.5396519397837279,0.22281338649131455,0.23441130075447086,0.5070166315028493,0.23860922487028896,0.25102934637206265,210.69389815845835,63.48459461980982,11.767721751889091,167.39009082887833,14.870316154295068,False
6,10/3/2019,15:49:22,1439,182.2604069831734,25.87084398976982,156.3895629934036,74.68596283582161,78.42734167918613,1000,21,139.3,110.75237608077148,5.724458778044209,4.563665748051903,59600000.0,3460000.0,209000000.0,933000000.0,730,39,0.12038850000496902,0.00417318020192752,0.2345273484962195,0.28317676793864965,0.3710095139020475,0.15188367248597784,0.13032463582783632,0.06223830236318468,0.06535611806598844,0.9664970784353913,0.03350292156460865,0.26389529820456203,0.3186366882111346,0.4174680135843034,0.5417506490282493,0.2219964802522443,0.23311735093503838,0.5035764362778697,0.24048977620348513,0.2525370649652447,211.3890311176554,63.986114332328484,10.69984850349313,168.59390060141314,13.666506381760257,False
7,10/3/2019,16:01:11,1451,182.2604069831734,26.5,155.7604069831734,74.11839747748529,77.6887493551463,1200,21,274,225.62661439136366,5.724458778044209,119.43790405864408,58400000.0,3650000.0,208000000.0,935000000.0,730,41,0.1166441816717236,0.004236779535172962,0.23345312450782343,0.2837826791681637,0.3692961620199127,0.15188367248597784,0.1298003391526445,0.06176533123123774,0.06474062446262191,0.9649508119982483,0.035049188001751615,0.2633330026905122,0.3201042829238573,0.41656271438563053,0.5438621512851132,0.22116811747068996,0.23182199060293215,0.5046956756007548,0.2401588145143058,0.2517274871181416,210.36977186607552,63.89214257409666,10.226254903388629,164.5460886624161,17.714318320757286,False
8,10/4/2019,8:49:00,2459,240.72569757363624,35.41080277502478,205.31489479861148,74.11735911935051,75.73156565800177,1200,21,203,167.16132380090082,5.724458778044209,119.43790405864408,-1,-1,-1,-1,860,41,0.12098868634319762,0.030030804243009294,0.01001453384721643,0.0005191790673886599,0.9785918485722653,0.2006047479780302,0.17109574566550956,0.06176446593279209,0.0631096380483348,0.8011461691041348,0.1988538308958652,0.010124633552248323,0.0005248869179037503,0.9893504795298479,0.6146771299162935,0.18925376908097508,0.19337553859819398,0.5763731547714208,0.20806700917071164,0.21259851340496447,77.38830623665191,33.75311040497893,40.36424871437158,136.59832191412522,104.12737565951102,True
9,10/4/2019,8:59:43,2469,240.72569757363624,35.5,205.22569757363624,73.6025080379819,74.99658650149516,1200,21,196.3,161.64417666067405,11.241605918270977,119.43790405864408,61300000.0,1910000.0,244000000.0,848000000.0,860,40,0.1471914059806002,0.0038280846056067,0.27212518809008207,0.2574255406843024,0.3674895782533059,0.2006047479780302,0.17102141464469686,0.061335423364984924,0.062497155417912634,0.9746517181938082,0.025348281806191787,0.3033589304272834,0.28697209999099405,0.4096689695817225,0.616645065547504,0.1885408323706637,0.19211191603217656,0.5782965736500909,0.20740130847963598,0.2113296215923729,204.078131570308,56.3473965342515,17.255111503730404,202.12593999963528,38.59975757400096,False
